"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 06월 05일","1,249.00","1,249.00","1,249.00","1,249.00","-","4.69%"
"2018년 06월 04일","1,193.00","1,193.00","1,193.00","1,193.00","-","3.20%"
"2018년 06월 01일","1,156.00","1,156.00","1,156.00","1,156.00","-","6.06%"
"2018년 05월 31일","1,090.00","1,090.00","1,090.00","1,090.00","-","4.61%"
"2018년 05월 30일","1,042.00","1,042.00","1,042.00","1,042.00","-","-1.42%"
"2018년 05월 29일","1,057.00","1,057.00","1,057.00","1,057.00","-","-1.86%"
"2018년 05월 25일","1,077.00","1,077.00","1,077.00","1,077.00","-","-2.89%"
"2018년 05월 24일","1,109.00","1,109.00","1,109.00","1,109.00","-","-4.56%"
"2018년 05월 23일","1,162.00","1,162.00","1,162.00","1,162.00","-","-3.09%"
"2018년 05월 22일","1,199.00","1,199.00","1,199.00","1,199.00","-","-3.23%"
"2018년 05월 21일","1,239.00","1,239.00","1,239.00","1,239.00","-","-2.67%"
"2018년 05월 18일","1,273.00","1,273.00","1,273.00","1,273.00","-","-2.45%"
"2018년 05월 17일","1,305.00","1,305.00","1,305.00","1,305.00","-","-6.99%"
"2018년 05월 16일","1,403.00","1,403.00","1,403.00","1,403.00","-","-4.43%"
"2018년 05월 15일","1,468.00","1,468.00","1,468.00","1,468.00","-","-0.54%"
"2018년 05월 14일","1,476.00","1,476.00","1,476.00","1,476.00","-","0.27%"
"2018년 05월 11일","1,472.00","1,472.00","1,472.00","1,472.00","-","1.31%"
"2018년 05월 10일","1,453.00","1,453.00","1,453.00","1,453.00","-","-0.82%"
"2018년 05월 09일","1,465.00","1,465.00","1,465.00","1,465.00","-","2.30%"
"2018년 05월 08일","1,432.00","1,432.00","1,432.00","1,432.00","-","3.47%"
"2018년 05월 04일","1,384.00","1,384.00","1,384.00","1,384.00","-","0.58%"
"2018년 05월 03일","1,376.00","1,376.00","1,376.00","1,376.00","-","2.23%"
"2018년 05월 02일","1,346.00","1,346.00","1,346.00","1,346.00","-","1.43%"
"2018년 05월 01일","1,327.00","1,327.00","1,327.00","1,327.00","-","-1.04%"
"2018년 04월 30일","1,341.00","1,341.00","1,341.00","1,341.00","-","-1.47%"
"2018년 04월 27일","1,361.00","1,361.00","1,361.00","1,361.00","-","-1.02%"
"2018년 04월 26일","1,375.00","1,375.00","1,375.00","1,375.00","-","-0.07%"
"2018년 04월 25일","1,376.00","1,376.00","1,376.00","1,376.00","-","3.46%"
"2018년 04월 24일","1,330.00","1,330.00","1,330.00","1,330.00","-","1.84%"
"2018년 04월 23일","1,306.00","1,306.00","1,306.00","1,306.00","-","1.95%"
"2018년 04월 20일","1,281.00","1,281.00","1,281.00","1,281.00","-","6.66%"
"2018년 04월 19일","1,201.00","1,201.00","1,201.00","1,201.00","-","6.85%"
"2018년 04월 18일","1,124.00","1,124.00","1,124.00","1,124.00","-","6.84%"
"2018년 04월 17일","1,052.00","1,052.00","1,052.00","1,052.00","-","2.63%"
"2018년 04월 16일","1,025.00","1,025.00","1,025.00","1,025.00","-","1.08%"
"2018년 04월 13일","1,014.00","1,014.00","1,014.00","1,014.00","-","2.11%"
"2018년 04월 12일","993.00","993.00","993.00","993.00","-","1.43%"
"2018년 04월 11일","979.00","979.00","979.00","979.00","-","0.51%"
"2018년 04월 10일","974.00","974.00","974.00","974.00","-","2.31%"
"2018년 04월 09일","952.00","952.00","952.00","952.00","-","0.42%"
"2018년 04월 06일","948.00","948.00","948.00","948.00","-","-0.52%"
"2018년 04월 05일","953.00","953.00","953.00","953.00","-","-2.46%"
"2018년 04월 04일","977.00","977.00","977.00","977.00","-","-3.84%"
"2018년 04월 03일","1,016.00","1,016.00","1,016.00","1,016.00","-","-3.70%"
"2018년 03월 29일","1,055.00","1,055.00","1,055.00","1,055.00","-","-2.31%"
"2018년 03월 28일","1,080.00","1,080.00","1,080.00","1,080.00","-","-3.31%"
"2018년 03월 27일","1,117.00","1,117.00","1,117.00","1,117.00","-","-0.80%"
"2018년 03월 26일","1,126.00","1,126.00","1,126.00","1,126.00","-","0.36%"
"2018년 03월 23일","1,122.00","1,122.00","1,122.00","1,122.00","-","0.45%"
"2018년 03월 22일","1,117.00","1,117.00","1,117.00","1,117.00","-","0.00%"
"2018년 03월 21일","1,117.00","1,117.00","1,117.00","1,117.00","-","-0.45%"
"2018년 03월 20일","1,122.00","1,122.00","1,122.00","1,122.00","-","-1.23%"
"2018년 03월 19일","1,136.00","1,136.00","1,136.00","1,136.00","-","-0.61%"
"2018년 03월 16일","1,143.00","1,143.00","1,143.00","1,143.00","-","-0.61%"
"2018년 03월 15일","1,150.00","1,150.00","1,150.00","1,150.00","-","-1.63%"
"2018년 03월 14일","1,169.00","1,169.00","1,169.00","1,169.00","-","-0.85%"
"2018년 03월 13일","1,179.00","1,179.00","1,179.00","1,179.00","-","-1.09%"
"2018년 03월 12일","1,192.00","1,192.00","1,192.00","1,192.00","-","-0.75%"
"2018년 03월 09일","1,201.00","1,201.00","1,201.00","1,201.00","-","0.33%"
"2018년 03월 08일","1,197.00","1,197.00","1,197.00","1,197.00","-","0.50%"
"2018년 03월 07일","1,191.00","1,191.00","1,191.00","1,191.00","-","-1.73%"
"2018년 03월 06일","1,212.00","1,212.00","1,212.00","1,212.00","-","0.17%"
"2018년 03월 05일","1,210.00","1,210.00","1,210.00","1,210.00","-","0.25%"
"2018년 03월 02일","1,207.00","1,207.00","1,207.00","1,207.00","-","0.92%"
"2018년 03월 01일","1,196.00","1,196.00","1,196.00","1,196.00","-","0.34%"
"2018년 02월 28일","1,192.00","1,192.00","1,192.00","1,192.00","-","0.34%"
"2018년 02월 27일","1,188.00","1,188.00","1,188.00","1,188.00","-","-0.25%"
"2018년 02월 26일","1,191.00","1,191.00","1,191.00","1,191.00","-","0.51%"
"2018년 02월 23일","1,185.00","1,185.00","1,185.00","1,185.00","-","1.54%"
"2018년 02월 22일","1,167.00","1,167.00","1,167.00","1,167.00","-","1.83%"
"2018년 02월 21일","1,146.00","1,146.00","1,146.00","1,146.00","-","2.60%"
"2018년 02월 20일","1,117.00","1,117.00","1,117.00","1,117.00","-","2.76%"
"2018년 02월 19일","1,087.00","1,087.00","1,087.00","1,087.00","-","0.28%"
"2018년 02월 16일","1,084.00","1,084.00","1,084.00","1,084.00","-","-0.46%"
"2018년 02월 15일","1,089.00","1,089.00","1,089.00","1,089.00","-","-0.55%"
"2018년 02월 14일","1,095.00","1,095.00","1,095.00","1,095.00","-","-1.71%"
"2018년 02월 13일","1,114.00","1,114.00","1,114.00","1,114.00","-","-0.80%"
"2018년 02월 12일","1,123.00","1,123.00","1,123.00","1,123.00","-","-0.18%"
"2018년 02월 09일","1,125.00","1,125.00","1,125.00","1,125.00","-","1.72%"
"2018년 02월 08일","1,106.00","1,106.00","1,106.00","1,106.00","-","0.82%"
"2018년 02월 07일","1,097.00","1,097.00","1,097.00","1,097.00","-","0.18%"
"2018년 02월 06일","1,095.00","1,095.00","1,095.00","1,095.00","-","1.20%"
"2018년 02월 05일","1,082.00","1,082.00","1,082.00","1,082.00","-","-1.19%"
"2018년 02월 02일","1,095.00","1,095.00","1,095.00","1,095.00","-","-1.71%"
"2018년 02월 01일","1,114.00","1,114.00","1,114.00","1,114.00","-","-3.30%"
"2018년 01월 31일","1,152.00","1,152.00","1,152.00","1,152.00","-","-3.27%"
"2018년 01월 30일","1,191.00","1,191.00","1,191.00","1,191.00","-","-1.89%"
"2018년 01월 29일","1,214.00","1,214.00","1,214.00","1,214.00","-","-0.41%"
"2018년 01월 26일","1,219.00","1,219.00","1,219.00","1,219.00","-","0.16%"
"2018년 01월 25일","1,217.00","1,217.00","1,217.00","1,217.00","-","1.42%"
"2018년 01월 24일","1,200.00","1,200.00","1,200.00","1,200.00","-","3.72%"
"2018년 01월 23일","1,157.00","1,157.00","1,157.00","1,157.00","-","2.48%"
"2018년 01월 22일","1,129.00","1,129.00","1,129.00","1,129.00","-","0.36%"
"2018년 01월 19일","1,125.00","1,125.00","1,125.00","1,125.00","-","-1.23%"
"2018년 01월 18일","1,139.00","1,139.00","1,139.00","1,139.00","-","-2.15%"
"2018년 01월 17일","1,164.00","1,164.00","1,164.00","1,164.00","-","-4.67%"
"2018년 01월 16일","1,221.00","1,221.00","1,221.00","1,221.00","-","-3.40%"
"2018년 01월 15일","1,264.00","1,264.00","1,264.00","1,264.00","-","-1.17%"
"2018년 01월 12일","1,279.00","1,279.00","1,279.00","1,279.00","-","-1.84%"
"2018년 01월 11일","1,303.00","1,303.00","1,303.00","1,303.00","-","-4.61%"
"2018년 01월 10일","1,366.00","1,366.00","1,366.00","1,366.00","-","-2.08%"
"2018년 01월 09일","1,395.00","1,395.00","1,395.00","1,395.00","-","0.72%"
"2018년 01월 08일","1,385.00","1,385.00","1,385.00","1,385.00","-","1.02%"
"2018년 01월 05일","1,371.00","1,371.00","1,371.00","1,371.00","-","2.24%"
"2018년 01월 04일","1,341.00","1,341.00","1,341.00","1,341.00","-","6.26%"
"2018년 01월 03일","1,262.00","1,262.00","1,262.00","1,262.00","-","2.60%"
"2018년 01월 02일","1,230.00","1,230.00","1,230.00","1,230.00","-","-9.96%"
"2017년 12월 22일","1,366.00","1,366.00","1,366.00","1,366.00","-","-4.48%"
"2017년 12월 21일","1,430.00","1,430.00","1,430.00","1,430.00","-","-3.12%"
"2017년 12월 20일","1,476.00","1,476.00","1,476.00","1,476.00","-","-4.59%"
"2017년 12월 19일","1,547.00","1,547.00","1,547.00","1,547.00","-","-2.58%"
"2017년 12월 18일","1,588.00","1,588.00","1,588.00","1,588.00","-","-1.91%"
"2017년 12월 15일","1,619.00","1,619.00","1,619.00","1,619.00","-","-2.94%"
"2017년 12월 14일","1,668.00","1,668.00","1,668.00","1,668.00","-","-3.58%"
"2017년 12월 13일","1,730.00","1,730.00","1,730.00","1,730.00","-","-0.75%"
"2017년 12월 12일","1,743.00","1,743.00","1,743.00","1,743.00","-","0.93%"
"2017년 12월 11일","1,727.00","1,727.00","1,727.00","1,727.00","-","1.47%"
"2017년 12월 08일","1,702.00","1,702.00","1,702.00","1,702.00","-","1.37%"
"2017년 12월 07일","1,679.00","1,679.00","1,679.00","1,679.00","-","0.54%"
"2017년 12월 06일","1,670.00","1,670.00","1,670.00","1,670.00","-","0.24%"
"2017년 12월 05일","1,666.00","1,666.00","1,666.00","1,666.00","-","0.24%"
"2017년 12월 04일","1,662.00","1,662.00","1,662.00","1,662.00","-","2.21%"
"2017년 12월 01일","1,626.00","1,626.00","1,626.00","1,626.00","-","3.04%"
"2017년 11월 30일","1,578.00","1,578.00","1,578.00","1,578.00","-","2.73%"
"2017년 11월 29일","1,536.00","1,536.00","1,536.00","1,536.00","-","1.99%"
"2017년 11월 28일","1,506.00","1,506.00","1,506.00","1,506.00","-","1.96%"
"2017년 11월 27일","1,477.00","1,477.00","1,477.00","1,477.00","-","1.30%"
"2017년 11월 24일","1,458.00","1,458.00","1,458.00","1,458.00","-","0.90%"
"2017년 11월 23일","1,445.00","1,445.00","1,445.00","1,445.00","-","2.26%"
"2017년 11월 22일","1,413.00","1,413.00","1,413.00","1,413.00","-","1.22%"
"2017년 11월 21일","1,396.00","1,396.00","1,396.00","1,396.00","-","0.79%"
"2017년 11월 20일","1,385.00","1,385.00","1,385.00","1,385.00","-","1.02%"
"2017년 11월 17일","1,371.00","1,371.00","1,371.00","1,371.00","-","0.73%"
"2017년 11월 16일","1,361.00","1,361.00","1,361.00","1,361.00","-","-0.95%"
"2017년 11월 15일","1,374.00","1,374.00","1,374.00","1,374.00","-","-2.21%"
"2017년 11월 14일","1,405.00","1,405.00","1,405.00","1,405.00","-","-2.77%"
"2017년 11월 13일","1,445.00","1,445.00","1,445.00","1,445.00","-","-1.30%"
"2017년 11월 10일","1,464.00","1,464.00","1,464.00","1,464.00","-","-1.15%"
"2017년 11월 09일","1,481.00","1,481.00","1,481.00","1,481.00","-","-0.34%"
"2017년 11월 08일","1,486.00","1,486.00","1,486.00","1,486.00","-","0.61%"
"2017년 11월 07일","1,477.00","1,477.00","1,477.00","1,477.00","-","0.27%"
"2017년 11월 06일","1,473.00","1,473.00","1,473.00","1,473.00","-","-0.20%"
"2017년 11월 03일","1,476.00","1,476.00","1,476.00","1,476.00","-","-0.40%"
"2017년 11월 02일","1,482.00","1,482.00","1,482.00","1,482.00","-","-0.94%"
"2017년 11월 01일","1,496.00","1,496.00","1,496.00","1,496.00","-","-1.71%"
"2017년 10월 31일","1,522.00","1,522.00","1,522.00","1,522.00","-","-0.78%"
"2017년 10월 30일","1,534.00","1,534.00","1,534.00","1,534.00","-","-0.78%"
"2017년 10월 27일","1,546.00","1,546.00","1,546.00","1,546.00","-","-0.58%"
"2017년 10월 26일","1,555.00","1,555.00","1,555.00","1,555.00","-","-1.14%"
"2017년 10월 25일","1,573.00","1,573.00","1,573.00","1,573.00","-","-0.94%"
"2017년 10월 24일","1,588.00","1,588.00","1,588.00","1,588.00","-","0.13%"
"2017년 10월 23일","1,586.00","1,586.00","1,586.00","1,586.00","-","0.51%"
"2017년 10월 20일","1,578.00","1,578.00","1,578.00","1,578.00","-","-0.25%"
"2017년 10월 19일","1,582.00","1,582.00","1,582.00","1,582.00","-","1.02%"
"2017년 10월 18일","1,566.00","1,566.00","1,566.00","1,566.00","-","0.90%"
"2017년 10월 17일","1,552.00","1,552.00","1,552.00","1,552.00","-","1.90%"
"2017년 10월 16일","1,523.00","1,523.00","1,523.00","1,523.00","-","2.56%"
"2017년 10월 13일","1,485.00","1,485.00","1,485.00","1,485.00","-","1.85%"
"2017년 10월 12일","1,458.00","1,458.00","1,458.00","1,458.00","-","1.74%"
"2017년 10월 11일","1,433.00","1,433.00","1,433.00","1,433.00","-","1.06%"
"2017년 10월 10일","1,418.00","1,418.00","1,418.00","1,418.00","-","0.50%"
"2017년 10월 09일","1,411.00","1,411.00","1,411.00","1,411.00","-","0.43%"
"2017년 10월 06일","1,405.00","1,405.00","1,405.00","1,405.00","-","1.66%"
"2017년 10월 05일","1,382.00","1,382.00","1,382.00","1,382.00","-","4.70%"
"2017년 10월 04일","1,320.00","1,320.00","1,320.00","1,320.00","-","0.92%"
"2017년 10월 03일","1,308.00","1,308.00","1,308.00","1,308.00","-","-1.51%"
"2017년 10월 02일","1,328.00","1,328.00","1,328.00","1,328.00","-","-2.06%"
"2017년 09월 29일","1,356.00","1,356.00","1,356.00","1,356.00","-","-2.52%"
"2017년 09월 28일","1,391.00","1,391.00","1,391.00","1,391.00","-","-2.66%"
"2017년 09월 27일","1,429.00","1,429.00","1,429.00","1,429.00","-","-3.18%"
"2017년 09월 26일","1,476.00","1,476.00","1,476.00","1,476.00","-","-1.80%"
"2017년 09월 25일","1,503.00","1,503.00","1,503.00","1,503.00","-","0.07%"
"2017년 09월 22일","1,502.00","1,502.00","1,502.00","1,502.00","-","2.18%"
"2017년 09월 21일","1,470.00","1,470.00","1,470.00","1,470.00","-","1.45%"
"2017년 09월 20일","1,449.00","1,449.00","1,449.00","1,449.00","-","2.40%"
"2017년 09월 19일","1,415.00","1,415.00","1,415.00","1,415.00","-","1.22%"
"2017년 09월 18일","1,398.00","1,398.00","1,398.00","1,398.00","-","0.94%"
"2017년 09월 15일","1,385.00","1,385.00","1,385.00","1,385.00","-","1.76%"
"2017년 09월 14일","1,361.00","1,361.00","1,361.00","1,361.00","-","1.80%"
"2017년 09월 13일","1,337.00","1,337.00","1,337.00","1,337.00","-","-0.52%"
"2017년 09월 12일","1,344.00","1,344.00","1,344.00","1,344.00","-","-0.81%"
"2017년 09월 11일","1,355.00","1,355.00","1,355.00","1,355.00","-","1.73%"
"2017년 09월 08일","1,332.00","1,332.00","1,332.00","1,332.00","-","2.78%"
"2017년 09월 07일","1,296.00","1,296.00","1,296.00","1,296.00","-","3.68%"
"2017년 09월 06일","1,250.00","1,250.00","1,250.00","1,250.00","-","2.88%"
"2017년 09월 05일","1,215.00","1,215.00","1,215.00","1,215.00","-","2.36%"
"2017년 09월 04일","1,187.00","1,187.00","1,187.00","1,187.00","-","0.34%"
"2017년 09월 01일","1,183.00","1,183.00","1,183.00","1,183.00","-","-0.08%"
"2017년 08월 31일","1,184.00","1,184.00","1,184.00","1,184.00","-","0.25%"
"2017년 08월 30일","1,181.00","1,181.00","1,181.00","1,181.00","-","-1.83%"
"2017년 08월 29일","1,203.00","1,203.00","1,203.00","1,203.00","-","-0.50%"
"2017년 08월 25일","1,209.00","1,209.00","1,209.00","1,209.00","-","0.75%"
"2017년 08월 24일","1,200.00","1,200.00","1,200.00","1,200.00","-","-1.80%"
"2017년 08월 23일","1,222.00","1,222.00","1,222.00","1,222.00","-","-2.16%"
"2017년 08월 22일","1,249.00","1,249.00","1,249.00","1,249.00","-","-1.34%"
"2017년 08월 21일","1,266.00","1,266.00","1,266.00","1,266.00","-","0.48%"
"2017년 08월 18일","1,260.00","1,260.00","1,260.00","1,260.00","-","1.04%"
"2017년 08월 17일","1,247.00","1,247.00","1,247.00","1,247.00","-","3.31%"
"2017년 08월 16일","1,207.00","1,207.00","1,207.00","1,207.00","-","3.25%"
"2017년 08월 15일","1,169.00","1,169.00","1,169.00","1,169.00","-","1.21%"
"2017년 08월 14일","1,155.00","1,155.00","1,155.00","1,155.00","-","1.49%"
"2017년 08월 11일","1,138.00","1,138.00","1,138.00","1,138.00","-","4.21%"
"2017년 08월 10일","1,092.00","1,092.00","1,092.00","1,092.00","-","4.00%"
"2017년 08월 09일","1,050.00","1,050.00","1,050.00","1,050.00","-","1.16%"
"2017년 08월 08일","1,038.00","1,038.00","1,038.00","1,038.00","-","0.19%"
"2017년 08월 07일","1,036.00","1,036.00","1,036.00","1,036.00","-","0.39%"
"2017년 08월 04일","1,032.00","1,032.00","1,032.00","1,032.00","-","0.88%"
"2017년 08월 03일","1,023.00","1,023.00","1,023.00","1,023.00","-","3.02%"
"2017년 08월 02일","993.00","993.00","993.00","993.00","-","2.90%"
"2017년 08월 01일","965.00","965.00","965.00","965.00","-","2.01%"
"2017년 07월 31일","946.00","946.00","946.00","946.00","-","1.39%"
"2017년 07월 28일","933.00","933.00","933.00","933.00","-","-0.96%"
"2017년 07월 27일","942.00","942.00","942.00","942.00","-","-2.69%"
"2017년 07월 26일","968.00","968.00","968.00","968.00","-","-1.22%"
"2017년 07월 25일","980.00","980.00","980.00","980.00","-","0.31%"
"2017년 07월 24일","977.00","977.00","977.00","977.00","-","0.00%"
"2017년 07월 21일","977.00","977.00","977.00","977.00","-","1.35%"
"2017년 07월 20일","964.00","964.00","964.00","964.00","-","1.69%"
"2017년 07월 19일","948.00","948.00","948.00","948.00","-","1.72%"
"2017년 07월 18일","932.00","932.00","932.00","932.00","-","2.19%"
"2017년 07월 17일","912.00","912.00","912.00","912.00","-","1.33%"
"2017년 07월 14일","900.00","900.00","900.00","900.00","-","1.35%"
"2017년 07월 13일","888.00","888.00","888.00","888.00","-","3.38%"
"2017년 07월 12일","859.00","859.00","859.00","859.00","-","3.49%"
"2017년 07월 11일","830.00","830.00","830.00","830.00","-","1.22%"
"2017년 07월 10일","820.00","820.00","820.00","820.00","-","-0.24%"
"2017년 07월 07일","822.00","822.00","822.00","822.00","-","-0.84%"
"2017년 07월 06일","829.00","829.00","829.00","829.00","-","-2.13%"
"2017년 07월 05일","847.00","847.00","847.00","847.00","-","-2.76%"
"2017년 07월 04일","871.00","871.00","871.00","871.00","-","-1.25%"
"2017년 07월 03일","882.00","882.00","882.00","882.00","-","-2.11%"
"2017년 06월 30일","901.00","901.00","901.00","901.00","-","-2.07%"
"2017년 06월 29일","920.00","920.00","920.00","920.00","-","-0.97%"
"2017년 06월 28일","929.00","929.00","929.00","929.00","-","2.88%"
"2017년 06월 27일","903.00","903.00","903.00","903.00","-","2.15%"
"2017년 06월 26일","884.00","884.00","884.00","884.00","-","1.61%"
"2017년 06월 23일","870.00","870.00","870.00","870.00","-","1.75%"
"2017년 06월 22일","855.00","855.00","855.00","855.00","-","1.30%"
"2017년 06월 21일","844.00","844.00","844.00","844.00","-","-0.35%"
"2017년 06월 20일","847.00","847.00","847.00","847.00","-","-0.12%"
"2017년 06월 19일","848.00","848.00","848.00","848.00","-","-0.35%"
"2017년 06월 16일","851.00","851.00","851.00","851.00","-","-0.47%"
"2017년 06월 15일","855.00","855.00","855.00","855.00","-","-1.16%"
"2017년 06월 14일","865.00","865.00","865.00","865.00","-","-0.57%"
"2017년 06월 13일","870.00","870.00","870.00","870.00","-","0.00%"
"2017년 06월 12일","870.00","870.00","870.00","870.00","-","2.47%"
"2017년 06월 09일","849.00","849.00","849.00","849.00","-","3.03%"
"2017년 06월 08일","824.00","824.00","824.00","824.00","-","0.37%"
"2017년 06월 07일","821.00","821.00","821.00","821.00","-","0.37%"
"2017년 06월 06일","818.00","818.00","818.00","818.00","-","-0.37%"
"2017년 06월 05일","821.00","821.00","821.00","821.00","-","-1.08%"
"2017년 06월 02일","830.00","830.00","830.00","830.00","-","-2.35%"
"2017년 06월 01일","850.00","850.00","850.00","850.00","-","-3.19%"
"2017년 05월 31일","878.00","878.00","878.00","878.00","-","-2.44%"
"2017년 05월 30일","900.00","900.00","900.00","900.00","-","-1.32%"
"2017년 05월 26일","912.00","912.00","912.00","912.00","-","-0.65%"
"2017년 05월 25일","918.00","918.00","918.00","918.00","-","-1.71%"
"2017년 05월 24일","934.00","934.00","934.00","934.00","-","-1.58%"
"2017년 05월 23일","949.00","949.00","949.00","949.00","-","-0.52%"
"2017년 05월 22일","954.00","954.00","954.00","954.00","-","-0.21%"
"2017년 05월 19일","956.00","956.00","956.00","956.00","-","-0.10%"
"2017년 05월 18일","957.00","957.00","957.00","957.00","-","-0.31%"
"2017년 05월 17일","960.00","960.00","960.00","960.00","-","-2.04%"
"2017년 05월 16일","980.00","980.00","980.00","980.00","-","-1.41%"
"2017년 05월 15일","994.00","994.00","994.00","994.00","-","-1.97%"
"2017년 05월 12일","1,014.00","1,014.00","1,014.00","1,014.00","-","0.20%"
"2017년 05월 11일","1,012.00","1,012.00","1,012.00","1,012.00","-","0.70%"
"2017년 05월 10일","1,005.00","1,005.00","1,005.00","1,005.00","-","-0.20%"
"2017년 05월 09일","1,007.00","1,007.00","1,007.00","1,007.00","-","0.60%"
"2017년 05월 08일","1,001.00","1,001.00","1,001.00","1,001.00","-","0.70%"
"2017년 05월 05일","994.00","994.00","994.00","994.00","-","-1.00%"
"2017년 05월 04일","1,004.00","1,004.00","1,004.00","1,004.00","-","-2.90%"
"2017년 05월 03일","1,034.00","1,034.00","1,034.00","1,034.00","-","-3.63%"
"2017년 05월 02일","1,073.00","1,073.00","1,073.00","1,073.00","-","-3.25%"
"2017년 04월 28일","1,109.00","1,109.00","1,109.00","1,109.00","-","-2.20%"
"2017년 04월 27일","1,134.00","1,134.00","1,134.00","1,134.00","-","-1.13%"
"2017년 04월 26일","1,147.00","1,147.00","1,147.00","1,147.00","-","-0.61%"
"2017년 04월 25일","1,154.00","1,154.00","1,154.00","1,154.00","-","-1.37%"
"2017년 04월 24일","1,170.00","1,170.00","1,170.00","1,170.00","-","-2.09%"
"2017년 04월 21일","1,195.00","1,195.00","1,195.00","1,195.00","-","-3.86%"
"2017년 04월 20일","1,243.00","1,243.00","1,243.00","1,243.00","-","-2.74%"
"2017년 04월 19일","1,278.00","1,278.00","1,278.00","1,278.00","-","-1.24%"
"2017년 04월 18일","1,294.00","1,294.00","1,294.00","1,294.00","-","-0.15%"
"2017년 04월 13일","1,296.00","1,296.00","1,296.00","1,296.00","-","1.09%"
"2017년 04월 12일","1,282.00","1,282.00","1,282.00","1,282.00","-","1.58%"
"2017년 04월 11일","1,262.00","1,262.00","1,262.00","1,262.00","-","2.52%"
"2017년 04월 10일","1,231.00","1,231.00","1,231.00","1,231.00","-","0.65%"
"2017년 04월 07일","1,223.00","1,223.00","1,223.00","1,223.00","-","0.66%"
"2017년 04월 06일","1,215.00","1,215.00","1,215.00","1,215.00","-","-0.65%"
"2017년 04월 05일","1,223.00","1,223.00","1,223.00","1,223.00","-","-2.55%"
"2017년 04월 04일","1,255.00","1,255.00","1,255.00","1,255.00","-","-2.11%"
"2017년 04월 03일","1,282.00","1,282.00","1,282.00","1,282.00","-","-1.16%"
"2017년 03월 31일","1,297.00","1,297.00","1,297.00","1,297.00","-","-2.04%"
"2017년 03월 30일","1,324.00","1,324.00","1,324.00","1,324.00","-","-1.05%"
"2017년 03월 29일","1,338.00","1,338.00","1,338.00","1,338.00","-","0.38%"
"2017년 03월 28일","1,333.00","1,333.00","1,333.00","1,333.00","-","3.98%"
"2017년 03월 27일","1,282.00","1,282.00","1,282.00","1,282.00","-","3.39%"
"2017년 03월 24일","1,240.00","1,240.00","1,240.00","1,240.00","-","3.68%"
"2017년 03월 23일","1,196.00","1,196.00","1,196.00","1,196.00","-","0.50%"
"2017년 03월 22일","1,190.00","1,190.00","1,190.00","1,190.00","-","-0.83%"
"2017년 03월 21일","1,200.00","1,200.00","1,200.00","1,200.00","-","-0.41%"
"2017년 03월 20일","1,205.00","1,205.00","1,205.00","1,205.00","-","0.75%"
"2017년 03월 17일","1,196.00","1,196.00","1,196.00","1,196.00","-","2.05%"
"2017년 03월 16일","1,172.00","1,172.00","1,172.00","1,172.00","-","2.18%"
"2017년 03월 15일","1,147.00","1,147.00","1,147.00","1,147.00","-","3.15%"
"2017년 03월 14일","1,112.00","1,112.00","1,112.00","1,112.00","-","1.18%"
"2017년 03월 13일","1,099.00","1,099.00","1,099.00","1,099.00","-","1.20%"
"2017년 03월 10일","1,086.00","1,086.00","1,086.00","1,086.00","-","2.07%"
"2017년 03월 09일","1,064.00","1,064.00","1,064.00","1,064.00","-","1.82%"
"2017년 03월 08일","1,045.00","1,045.00","1,045.00","1,045.00","-","1.16%"
"2017년 03월 07일","1,033.00","1,033.00","1,033.00","1,033.00","-","5.52%"
"2017년 03월 06일","979.00","979.00","979.00","979.00","-","4.26%"
"2017년 03월 03일","939.00","939.00","939.00","939.00","-","3.87%"
"2017년 03월 02일","904.00","904.00","904.00","904.00","-","3.79%"
"2017년 03월 01일","871.00","871.00","871.00","871.00","-","1.40%"
"2017년 02월 28일","859.00","859.00","859.00","859.00","-","-2.16%"
"2017년 02월 27일","878.00","878.00","878.00","878.00","-","0.34%"
"2017년 02월 24일","875.00","875.00","875.00","875.00","-","2.22%"
"2017년 02월 23일","856.00","856.00","856.00","856.00","-","6.20%"
"2017년 02월 22일","806.00","806.00","806.00","806.00","-","3.60%"
"2017년 02월 21일","778.00","778.00","778.00","778.00","-","2.77%"
"2017년 02월 20일","757.00","757.00","757.00","757.00","-","2.16%"
"2017년 02월 17일","741.00","741.00","741.00","741.00","-","4.37%"
"2017년 02월 16일","710.00","710.00","710.00","710.00","-","3.20%"
"2017년 02월 15일","688.00","688.00","688.00","688.00","-","0.44%"
"2017년 02월 14일","685.00","685.00","685.00","685.00","-","-0.44%"
"2017년 02월 13일","688.00","688.00","688.00","688.00","-","-1.99%"
"2017년 02월 10일","702.00","702.00","702.00","702.00","-","-0.71%"
"2017년 02월 09일","707.00","707.00","707.00","707.00","-","0.71%"
"2017년 02월 08일","702.00","702.00","702.00","702.00","-","-1.68%"
"2017년 02월 07일","714.00","714.00","714.00","714.00","-","-2.86%"
"2017년 02월 06일","735.00","735.00","735.00","735.00","-","-2.26%"
"2017년 02월 03일","752.00","752.00","752.00","752.00","-","-2.34%"
"2017년 02월 02일","770.00","770.00","770.00","770.00","-","-2.04%"
"2017년 02월 01일","786.00","786.00","786.00","786.00","-","-1.75%"
"2017년 01월 31일","800.00","800.00","800.00","800.00","-","-1.96%"
"2017년 01월 30일","816.00","816.00","816.00","816.00","-","-1.33%"
"2017년 01월 27일","827.00","827.00","827.00","827.00","-","-1.55%"
