"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 06월 19일","1,179.00","1,179.00","1,179.00","1,179.00","-","3.88%"
"2019년 06월 18일","1,135.00","1,135.00","1,135.00","1,135.00","-","3.84%"
"2019년 06월 17일","1,093.00","1,093.00","1,093.00","1,093.00","-","0.74%"
"2019년 06월 14일","1,085.00","1,085.00","1,085.00","1,085.00","-","2.17%"
"2019년 06월 13일","1,062.00","1,062.00","1,062.00","1,062.00","-","-1.67%"
"2019년 06월 12일","1,080.00","1,080.00","1,080.00","1,080.00","-","-2.26%"
"2019년 06월 11일","1,105.00","1,105.00","1,105.00","1,105.00","-","-1.78%"
"2019년 06월 10일","1,125.00","1,125.00","1,125.00","1,125.00","-","-1.14%"
"2019년 06월 07일","1,138.00","1,138.00","1,138.00","1,138.00","-","0.00%"
"2019년 06월 06일","1,138.00","1,138.00","1,138.00","1,138.00","-","-0.26%"
"2019년 06월 05일","1,141.00","1,141.00","1,141.00","1,141.00","-","1.69%"
"2019년 06월 04일","1,122.00","1,122.00","1,122.00","1,122.00","-","1.72%"
"2019년 06월 03일","1,103.00","1,103.00","1,103.00","1,103.00","-","0.64%"
"2019년 05월 31일","1,096.00","1,096.00","1,096.00","1,096.00","-","-0.09%"
"2019년 05월 30일","1,097.00","1,097.00","1,097.00","1,097.00","-","-0.90%"
"2019년 05월 29일","1,107.00","1,107.00","1,107.00","1,107.00","-","2.31%"
"2019년 05월 28일","1,082.00","1,082.00","1,082.00","1,082.00","-","1.50%"
"2019년 05월 24일","1,066.00","1,066.00","1,066.00","1,066.00","-","-0.19%"
"2019년 05월 23일","1,068.00","1,068.00","1,068.00","1,068.00","-","0.85%"
"2019년 05월 22일","1,059.00","1,059.00","1,059.00","1,059.00","-","0.95%"
"2019년 05월 21일","1,049.00","1,049.00","1,049.00","1,049.00","-","0.77%"
"2019년 05월 20일","1,041.00","1,041.00","1,041.00","1,041.00","-","0.10%"
"2019년 05월 17일","1,040.00","1,040.00","1,040.00","1,040.00","-","0.78%"
"2019년 05월 16일","1,032.00","1,032.00","1,032.00","1,032.00","-","0.00%"
"2019년 05월 15일","1,032.00","1,032.00","1,032.00","1,032.00","-","-1.05%"
"2019년 05월 14일","1,043.00","1,043.00","1,043.00","1,043.00","-","1.66%"
"2019년 05월 13일","1,026.00","1,026.00","1,026.00","1,026.00","-","1.28%"
"2019년 05월 10일","1,013.00","1,013.00","1,013.00","1,013.00","-","4.00%"
"2019년 05월 09일","974.00","974.00","974.00","974.00","-","3.62%"
"2019년 05월 08일","940.00","940.00","940.00","940.00","-","0.43%"
"2019년 05월 07일","936.00","936.00","936.00","936.00","-","-4.97%"
"2019년 05월 03일","985.00","985.00","985.00","985.00","-","-4.55%"
"2019년 05월 02일","1,032.00","1,032.00","1,032.00","1,032.00","-","0.10%"
"2019년 05월 01일","1,031.00","1,031.00","1,031.00","1,031.00","-","1.98%"
"2019년 04월 30일","1,011.00","1,011.00","1,011.00","1,011.00","-","10.73%"
"2019년 04월 29일","913.00","913.00","913.00","913.00","-","2.70%"
"2019년 04월 26일","889.00","889.00","889.00","889.00","-","2.30%"
"2019년 04월 25일","869.00","869.00","869.00","869.00","-","2.24%"
"2019년 04월 24일","850.00","850.00","850.00","850.00","-","3.53%"
"2019년 04월 23일","821.00","821.00","821.00","821.00","-","3.92%"
"2019년 04월 18일","790.00","790.00","790.00","790.00","-","3.00%"
"2019년 04월 17일","767.00","767.00","767.00","767.00","-","2.40%"
"2019년 04월 16일","749.00","749.00","749.00","749.00","-","1.49%"
"2019년 04월 15일","738.00","738.00","738.00","738.00","-","1.65%"
"2019년 04월 12일","726.00","726.00","726.00","726.00","-","-0.27%"
"2019년 04월 11일","728.00","728.00","728.00","728.00","-","-0.82%"
"2019년 04월 10일","734.00","734.00","734.00","734.00","-","1.24%"
"2019년 04월 09일","725.00","725.00","725.00","725.00","-","1.54%"
"2019년 04월 08일","714.00","714.00","714.00","714.00","-","0.42%"
"2019년 04월 05일","711.00","711.00","711.00","711.00","-","1.72%"
"2019년 04월 04일","699.00","699.00","699.00","699.00","-","4.02%"
"2019년 04월 03일","672.00","672.00","672.00","672.00","-","-0.30%"
"2019년 04월 02일","674.00","674.00","674.00","674.00","-","-1.61%"
"2019년 04월 01일","685.00","685.00","685.00","685.00","-","-0.58%"
"2019년 03월 29일","689.00","689.00","689.00","689.00","-","-0.43%"
"2019년 03월 28일","692.00","692.00","692.00","692.00","-","0.29%"
"2019년 03월 27일","690.00","690.00","690.00","690.00","-","1.02%"
"2019년 03월 26일","683.00","683.00","683.00","683.00","-","-0.87%"
"2019년 03월 25일","689.00","689.00","689.00","689.00","-","-0.14%"
"2019년 03월 22일","690.00","690.00","690.00","690.00","-","-0.72%"
"2019년 03월 21일","695.00","695.00","695.00","695.00","-","-1.97%"
"2019년 03월 20일","709.00","709.00","709.00","709.00","-","-0.42%"
"2019년 03월 19일","712.00","712.00","712.00","712.00","-","-1.25%"
"2019년 03월 18일","721.00","721.00","721.00","721.00","-","-1.23%"
"2019년 03월 15일","730.00","730.00","730.00","730.00","-","7.83%"
"2019년 03월 14일","677.00","677.00","677.00","677.00","-","3.52%"
"2019년 03월 13일","654.00","654.00","654.00","654.00","-","1.08%"
"2019년 03월 12일","647.00","647.00","647.00","647.00","-","0.31%"
"2019년 03월 11일","645.00","645.00","645.00","645.00","-","-0.62%"
"2019년 03월 08일","649.00","649.00","649.00","649.00","-","-1.22%"
"2019년 03월 07일","657.00","657.00","657.00","657.00","-","-1.05%"
"2019년 03월 06일","664.00","664.00","664.00","664.00","-","0.15%"
"2019년 03월 05일","663.00","663.00","663.00","663.00","-","-0.90%"
"2019년 03월 04일","669.00","669.00","669.00","669.00","-","0.75%"
"2019년 03월 01일","664.00","664.00","664.00","664.00","-","0.91%"
"2019년 02월 28일","658.00","658.00","658.00","658.00","-","1.08%"
"2019년 02월 27일","651.00","651.00","651.00","651.00","-","0.31%"
"2019년 02월 26일","649.00","649.00","649.00","649.00","-","1.88%"
"2019년 02월 25일","637.00","637.00","637.00","637.00","-","0.47%"
"2019년 02월 22일","634.00","634.00","634.00","634.00","-","0.63%"
"2019년 02월 21일","630.00","630.00","630.00","630.00","-","1.29%"
"2019년 02월 20일","622.00","622.00","622.00","622.00","-","-2.05%"
"2019년 02월 19일","635.00","635.00","635.00","635.00","-","-1.24%"
"2019년 02월 18일","643.00","643.00","643.00","643.00","-","0.63%"
"2019년 02월 15일","639.00","639.00","639.00","639.00","-","1.75%"
"2019년 02월 14일","628.00","628.00","628.00","628.00","-","3.29%"
"2019년 02월 13일","608.00","608.00","608.00","608.00","-","1.67%"
"2019년 02월 12일","598.00","598.00","598.00","598.00","-","0.50%"
"2019년 02월 11일","595.00","595.00","595.00","595.00","-","-1.00%"
"2019년 02월 08일","601.00","601.00","601.00","601.00","-","-1.48%"
"2019년 02월 07일","610.00","610.00","610.00","610.00","-","-3.02%"
"2019년 02월 06일","629.00","629.00","629.00","629.00","-","0.00%"
"2019년 02월 05일","629.00","629.00","629.00","629.00","-","-0.79%"
"2019년 02월 04일","634.00","634.00","634.00","634.00","-","-1.71%"
"2019년 02월 01일","645.00","645.00","645.00","645.00","-","-3.44%"
"2019년 01월 31일","668.00","668.00","668.00","668.00","-","-7.35%"
"2019년 01월 30일","721.00","721.00","721.00","721.00","-","-9.54%"
"2019년 01월 29일","797.00","797.00","797.00","797.00","-","-6.46%"
"2019년 01월 28일","852.00","852.00","852.00","852.00","-","-5.86%"
"2019년 01월 25일","905.00","905.00","905.00","905.00","-","-3.62%"
"2019년 01월 24일","939.00","939.00","939.00","939.00","-","-4.38%"
"2019년 01월 23일","982.00","982.00","982.00","982.00","-","-5.21%"
"2019년 01월 22일","1,036.00","1,036.00","1,036.00","1,036.00","-","-5.13%"
"2019년 01월 21일","1,092.00","1,092.00","1,092.00","1,092.00","-","-1.80%"
"2019년 01월 18일","1,112.00","1,112.00","1,112.00","1,112.00","-","3.25%"
"2019년 01월 17일","1,077.00","1,077.00","1,077.00","1,077.00","-","2.09%"
"2019년 01월 16일","1,055.00","1,055.00","1,055.00","1,055.00","-","-3.74%"
"2019년 01월 15일","1,096.00","1,096.00","1,096.00","1,096.00","-","-4.45%"
"2019년 01월 14일","1,147.00","1,147.00","1,147.00","1,147.00","-","-1.88%"
"2019년 01월 11일","1,169.00","1,169.00","1,169.00","1,169.00","-","-1.68%"
"2019년 01월 10일","1,189.00","1,189.00","1,189.00","1,189.00","-","-3.96%"
"2019년 01월 09일","1,238.00","1,238.00","1,238.00","1,238.00","-","-1.90%"
"2019년 01월 08일","1,262.00","1,262.00","1,262.00","1,262.00","-","1.20%"
"2019년 01월 07일","1,247.00","1,247.00","1,247.00","1,247.00","-","-1.03%"
"2019년 01월 04일","1,260.00","1,260.00","1,260.00","1,260.00","-","-0.55%"
"2019년 01월 03일","1,267.00","1,267.00","1,267.00","1,267.00","-","-1.17%"
"2019년 01월 02일","1,282.00","1,282.00","1,282.00","1,282.00","-","0.87%"
"2018년 12월 24일","1,271.00","1,271.00","1,271.00","1,271.00","-","-0.63%"
"2018년 12월 21일","1,279.00","1,279.00","1,279.00","1,279.00","-","-2.96%"
"2018년 12월 20일","1,318.00","1,318.00","1,318.00","1,318.00","-","-4.35%"
"2018년 12월 19일","1,378.00","1,378.00","1,378.00","1,378.00","-","-1.22%"
"2018년 12월 18일","1,395.00","1,395.00","1,395.00","1,395.00","-","-0.78%"
"2018년 12월 17일","1,406.00","1,406.00","1,406.00","1,406.00","-","0.36%"
"2018년 12월 14일","1,401.00","1,401.00","1,401.00","1,401.00","-","2.64%"
"2018년 12월 13일","1,365.00","1,365.00","1,365.00","1,365.00","-","0.89%"
"2018년 12월 12일","1,353.00","1,353.00","1,353.00","1,353.00","-","-0.81%"
"2018년 12월 11일","1,364.00","1,364.00","1,364.00","1,364.00","-","-1.52%"
"2018년 12월 10일","1,385.00","1,385.00","1,385.00","1,385.00","-","0.95%"
"2018년 12월 07일","1,372.00","1,372.00","1,372.00","1,372.00","-","2.46%"
"2018년 12월 06일","1,339.00","1,339.00","1,339.00","1,339.00","-","3.32%"
"2018년 12월 05일","1,296.00","1,296.00","1,296.00","1,296.00","-","4.77%"
"2018년 12월 04일","1,237.00","1,237.00","1,237.00","1,237.00","-","2.83%"
"2018년 12월 03일","1,203.00","1,203.00","1,203.00","1,203.00","-","-2.27%"
"2018년 11월 30일","1,231.00","1,231.00","1,231.00","1,231.00","-","-3.90%"
"2018년 11월 29일","1,281.00","1,281.00","1,281.00","1,281.00","-","-3.68%"
"2018년 11월 28일","1,330.00","1,330.00","1,330.00","1,330.00","-","-0.67%"
"2018년 11월 27일","1,339.00","1,339.00","1,339.00","1,339.00","-","10.02%"
"2018년 11월 26일","1,217.00","1,217.00","1,217.00","1,217.00","-","11.34%"
"2018년 11월 23일","1,093.00","1,093.00","1,093.00","1,093.00","-","7.37%"
"2018년 11월 22일","1,018.00","1,018.00","1,018.00","1,018.00","-","0.99%"
"2018년 11월 21일","1,008.00","1,008.00","1,008.00","1,008.00","-","0.50%"
"2018년 11월 20일","1,003.00","1,003.00","1,003.00","1,003.00","-","-1.96%"
"2018년 11월 19일","1,023.00","1,023.00","1,023.00","1,023.00","-","-0.78%"
"2018년 11월 16일","1,031.00","1,031.00","1,031.00","1,031.00","-","1.08%"
"2018년 11월 15일","1,020.00","1,020.00","1,020.00","1,020.00","-","1.09%"
"2018년 11월 14일","1,009.00","1,009.00","1,009.00","1,009.00","-","-5.17%"
"2018년 11월 13일","1,064.00","1,064.00","1,064.00","1,064.00","-","-5.42%"
"2018년 11월 12일","1,125.00","1,125.00","1,125.00","1,125.00","-","-1.92%"
"2018년 11월 09일","1,147.00","1,147.00","1,147.00","1,147.00","-","-6.82%"
"2018년 11월 08일","1,231.00","1,231.00","1,231.00","1,231.00","-","-5.60%"
"2018년 11월 07일","1,304.00","1,304.00","1,304.00","1,304.00","-","-6.52%"
"2018년 11월 06일","1,395.00","1,395.00","1,395.00","1,395.00","-","-2.31%"
"2018년 11월 05일","1,428.00","1,428.00","1,428.00","1,428.00","-","-1.99%"
"2018년 11월 02일","1,457.00","1,457.00","1,457.00","1,457.00","-","-0.88%"
"2018년 11월 01일","1,470.00","1,470.00","1,470.00","1,470.00","-","-1.34%"
"2018년 10월 31일","1,490.00","1,490.00","1,490.00","1,490.00","-","-1.52%"
"2018년 10월 30일","1,513.00","1,513.00","1,513.00","1,513.00","-","-0.59%"
"2018년 10월 29일","1,522.00","1,522.00","1,522.00","1,522.00","-","0.20%"
"2018년 10월 26일","1,519.00","1,519.00","1,519.00","1,519.00","-","0.20%"
"2018년 10월 25일","1,516.00","1,516.00","1,516.00","1,516.00","-","-1.94%"
"2018년 10월 24일","1,546.00","1,546.00","1,546.00","1,546.00","-","-1.97%"
"2018년 10월 23일","1,577.00","1,577.00","1,577.00","1,577.00","-","-0.13%"
"2018년 10월 22일","1,579.00","1,579.00","1,579.00","1,579.00","-","0.19%"
"2018년 10월 19일","1,576.00","1,576.00","1,576.00","1,576.00","-","0.70%"
"2018년 10월 18일","1,565.00","1,565.00","1,565.00","1,565.00","-","0.71%"
"2018년 10월 17일","1,554.00","1,554.00","1,554.00","1,554.00","-","-1.52%"
"2018년 10월 16일","1,578.00","1,578.00","1,578.00","1,578.00","-","-0.38%"
"2018년 10월 15일","1,584.00","1,584.00","1,584.00","1,584.00","-","0.32%"
"2018년 10월 12일","1,579.00","1,579.00","1,579.00","1,579.00","-","4.22%"
"2018년 10월 11일","1,515.00","1,515.00","1,515.00","1,515.00","-","1.47%"
"2018년 10월 10일","1,493.00","1,493.00","1,493.00","1,493.00","-","-0.67%"
"2018년 10월 09일","1,503.00","1,503.00","1,503.00","1,503.00","-","-1.76%"
"2018년 10월 08일","1,530.00","1,530.00","1,530.00","1,530.00","-","-0.39%"
"2018년 10월 05일","1,536.00","1,536.00","1,536.00","1,536.00","-","-1.16%"
"2018년 10월 04일","1,554.00","1,554.00","1,554.00","1,554.00","-","-1.27%"
"2018년 10월 03일","1,574.00","1,574.00","1,574.00","1,574.00","-","0.25%"
"2018년 10월 02일","1,570.00","1,570.00","1,570.00","1,570.00","-","0.96%"
"2018년 10월 01일","1,555.00","1,555.00","1,555.00","1,555.00","-","0.97%"
"2018년 09월 28일","1,540.00","1,540.00","1,540.00","1,540.00","-","1.05%"
"2018년 09월 27일","1,524.00","1,524.00","1,524.00","1,524.00","-","1.40%"
"2018년 09월 26일","1,503.00","1,503.00","1,503.00","1,503.00","-","3.66%"
"2018년 09월 25일","1,450.00","1,450.00","1,450.00","1,450.00","-","1.12%"
"2018년 09월 24일","1,434.00","1,434.00","1,434.00","1,434.00","-","1.49%"
"2018년 09월 21일","1,413.00","1,413.00","1,413.00","1,413.00","-","1.22%"
"2018년 09월 20일","1,396.00","1,396.00","1,396.00","1,396.00","-","1.68%"
"2018년 09월 19일","1,373.00","1,373.00","1,373.00","1,373.00","-","1.25%"
"2018년 09월 18일","1,356.00","1,356.00","1,356.00","1,356.00","-","-0.07%"
"2018년 09월 17일","1,357.00","1,357.00","1,357.00","1,357.00","-","-0.66%"
"2018년 09월 14일","1,366.00","1,366.00","1,366.00","1,366.00","-","-1.16%"
"2018년 09월 13일","1,382.00","1,382.00","1,382.00","1,382.00","-","-2.06%"
"2018년 09월 12일","1,411.00","1,411.00","1,411.00","1,411.00","-","-1.95%"
"2018년 09월 11일","1,439.00","1,439.00","1,439.00","1,439.00","-","-2.90%"
"2018년 09월 10일","1,482.00","1,482.00","1,482.00","1,482.00","-","-0.54%"
"2018년 09월 07일","1,490.00","1,490.00","1,490.00","1,490.00","-","0.40%"
"2018년 09월 06일","1,484.00","1,484.00","1,484.00","1,484.00","-","0.47%"
"2018년 09월 05일","1,477.00","1,477.00","1,477.00","1,477.00","-","-2.38%"
"2018년 09월 04일","1,513.00","1,513.00","1,513.00","1,513.00","-","-2.83%"
"2018년 09월 03일","1,557.00","1,557.00","1,557.00","1,557.00","-","-1.39%"
"2018년 08월 31일","1,579.00","1,579.00","1,579.00","1,579.00","-","-2.17%"
"2018년 08월 30일","1,614.00","1,614.00","1,614.00","1,614.00","-","-2.83%"
"2018년 08월 29일","1,661.00","1,661.00","1,661.00","1,661.00","-","-1.37%"
"2018년 08월 28일","1,684.00","1,684.00","1,684.00","1,684.00","-","-0.77%"
"2018년 08월 24일","1,697.00","1,697.00","1,697.00","1,697.00","-","-0.70%"
"2018년 08월 23일","1,709.00","1,709.00","1,709.00","1,709.00","-","-1.50%"
"2018년 08월 22일","1,735.00","1,735.00","1,735.00","1,735.00","-","-0.06%"
"2018년 08월 21일","1,736.00","1,736.00","1,736.00","1,736.00","-","0.52%"
"2018년 08월 20일","1,727.00","1,727.00","1,727.00","1,727.00","-","0.23%"
"2018년 08월 17일","1,723.00","1,723.00","1,723.00","1,723.00","-","0.17%"
"2018년 08월 16일","1,720.00","1,720.00","1,720.00","1,720.00","-","-0.41%"
"2018년 08월 15일","1,727.00","1,727.00","1,727.00","1,727.00","-","0.12%"
"2018년 08월 14일","1,725.00","1,725.00","1,725.00","1,725.00","-","0.94%"
"2018년 08월 13일","1,709.00","1,709.00","1,709.00","1,709.00","-","1.06%"
"2018년 08월 10일","1,691.00","1,691.00","1,691.00","1,691.00","-","-0.18%"
"2018년 08월 09일","1,694.00","1,694.00","1,694.00","1,694.00","-","-0.59%"
"2018년 08월 08일","1,704.00","1,704.00","1,704.00","1,704.00","-","-1.62%"
"2018년 08월 07일","1,732.00","1,732.00","1,732.00","1,732.00","-","-2.31%"
"2018년 08월 06일","1,773.00","1,773.00","1,773.00","1,773.00","-","0.00%"
"2018년 08월 03일","1,773.00","1,773.00","1,773.00","1,773.00","-","0.97%"
"2018년 08월 02일","1,756.00","1,756.00","1,756.00","1,756.00","-","-0.23%"
"2018년 08월 01일","1,760.00","1,760.00","1,760.00","1,760.00","-","0.74%"
"2018년 07월 31일","1,747.00","1,747.00","1,747.00","1,747.00","-","2.58%"
"2018년 07월 30일","1,703.00","1,703.00","1,703.00","1,703.00","-","1.61%"
"2018년 07월 27일","1,676.00","1,676.00","1,676.00","1,676.00","-","-1.87%"
"2018년 07월 26일","1,708.00","1,708.00","1,708.00","1,708.00","-","-3.61%"
"2018년 07월 25일","1,772.00","1,772.00","1,772.00","1,772.00","-","-0.11%"
"2018년 07월 24일","1,774.00","1,774.00","1,774.00","1,774.00","-","3.26%"
"2018년 07월 23일","1,718.00","1,718.00","1,718.00","1,718.00","-","1.72%"
"2018년 07월 20일","1,689.00","1,689.00","1,689.00","1,689.00","-","1.93%"
"2018년 07월 19일","1,657.00","1,657.00","1,657.00","1,657.00","-","-1.84%"
"2018년 07월 18일","1,688.00","1,688.00","1,688.00","1,688.00","-","-1.92%"
"2018년 07월 17일","1,721.00","1,721.00","1,721.00","1,721.00","-","1.53%"
"2018년 07월 16일","1,695.00","1,695.00","1,695.00","1,695.00","-","1.74%"
"2018년 07월 13일","1,666.00","1,666.00","1,666.00","1,666.00","-","2.08%"
"2018년 07월 12일","1,632.00","1,632.00","1,632.00","1,632.00","-","2.90%"
"2018년 07월 11일","1,586.00","1,586.00","1,586.00","1,586.00","-","1.99%"
"2018년 07월 10일","1,555.00","1,555.00","1,555.00","1,555.00","-","-3.36%"
