code,name,section,date,open,high,low,close,vol,value,n_stock,agg_price,foreign_vol,foreign_rate,agency_buy,agency_netbuy
A035720,kakao,KOSPI,20000104,35564,36142,30274,30274,1685402,105021000000,33741000,1021475000000,1885965,5.590000152587891,0,0
A035720,kakao,KOSPI,20000105,26673,26673,26673,26673,65992,3521000000,33741000,899973000000,1887652,5.590000152587891,0,0
A035720,kakao,KOSPI,20000106,25339,26584,23472,23472,1614495,77709000000,33741000,791968000000,1829432,5.420000076293945,0,0
A035720,kakao,KOSPI,20000107,20672,20672,20672,20672,72740,3007000000,33741000,697493000000,1826958,5.409999847412109,0,0
A035720,kakao,KOSPI,20000110,20672,21783,18226,20894,4211321,167061000000,33741000,704984000000,1952458,5.789999961853027,0,0
A035720,kakao,KOSPI,20000111,23383,23383,22316,23383,892106,41611000000,33741000,788965000000,2109591,6.25,0,0
A035720,kakao,KOSPI,20000112,20583,26095,20583,21961,4700130,221186000000,33741000,740986000000,2528696,7.489999771118164,0,0
A035720,kakao,KOSPI,20000113,20716,21961,19338,19338,2705731,107216000000,33741000,652483000000,2406711,7.130000114440918,0,0
A035720,kakao,KOSPI,20000114,20005,21650,17026,20760,3854940,145484000000,33741000,700463000000,2404917,7.130000114440918,0,0
A035720,kakao,KOSPI,20000117,22228,23250,19916,23250,2801207,124103000000,33741000,784478000000,2457795,7.28000020980835,0,0
A035720,kakao,KOSPI,20000118,23561,26006,23383,26006,1450563,73448000000,33741000,877468000000,2480008,7.349999904632568,0,0
A035720,kakao,KOSPI,20000119,28807,29029,22894,23028,4207969,222046000000,33741000,776987000000,2374533,7.039999961853027,0,0
A035720,kakao,KOSPI,20000120,23117,25517,20894,24984,3813186,178125000000,33741000,842985000000,2368909,7.019999980926514,0,0
A035720,kakao,KOSPI,20000121,24984,26495,23561,24450,3033729,153572000000,33741000,824967000000,2379875,7.050000190734863,0,0
A035720,kakao,KOSPI,20000124,24095,25251,24050,24272,1708312,83900000000,33741000,818961000000,2526576,7.489999771118164,0,0
A035720,kakao,KOSPI,20000125,21783,22939,21383,21383,1429306,62825000000,33741000,721483000000,2514103,7.449999809265137,0,0
A035720,kakao,KOSPI,20000126,21783,22228,18938,19560,2220094,89693000000,33741000,659973000000,2504881,7.420000076293945,0,0
A035720,kakao,KOSPI,20000127,18226,18671,17248,17248,1390273,49288000000,33741000,581964000000,2477978,7.340000152587891,0,0
A035720,kakao,KOSPI,20000128,16093,19293,15737,19293,2901616,102661000000,33741000,650965000000,2429402,7.199999809265137,0,0
A035720,kakao,KOSPI,20000131,18938,21605,18315,21605,1162958,48250000000,33741000,728974000000,2698668,8.0,0,0
A035720,kakao,KOSPI,20000201,24184,24184,24184,24184,197847,9570000000,33741000,815992000000,2699624,8.0,0,0
A035720,kakao,KOSPI,20000202,24939,26584,24006,24806,3251675,163493000000,33741000,836979000000,2641128,7.829999923706055,0,0
A035720,kakao,KOSPI,20000203,27740,27740,26495,27740,1134796,31369000000,33741000,935975000000,2711085,8.029999732971191,0,0
A035720,kakao,KOSPI,20000207,31030,31030,31030,31030,70401,2185000000,33741000,1046983000000,2711073,8.029999732971191,0,0
A035720,kakao,KOSPI,20000208,34675,34675,30052,34675,3378953,115780000000,33741000,1169969000000,3251591,9.640000343322754,0,0
A035720,kakao,KOSPI,20000209,36453,38765,35564,38765,1268209,48030000000,33741000,1307969000000,3153685,9.350000381469727,0,0
A035720,kakao,KOSPI,20000210,40721,43389,39121,43389,920758,38696000000,33741000,1463988000000,3181949,9.430000305175781,0,0
A035720,kakao,KOSPI,20000211,48545,48545,48545,48545,311319,15113000000,33741000,1637956000000,3193955,9.470000267028809,0,0
A035720,kakao,KOSPI,20000214,46945,52991,42766,43922,7052619,329066000000,33741000,1481972000000,3324056,9.850000381469727,0,0
A035720,kakao,KOSPI,20000215,44456,46056,38676,38676,3647533,151607000000,33741000,1304966000000,3469441,10.279999732971191,0,0
A035720,kakao,KOSPI,20000216,37343,43300,35564,43300,4900834,195460000000,33741000,1460985000000,3395014,10.0600004196167,0,0
A035720,kakao,KOSPI,20000217,43744,47567,41788,43300,5735361,258547000000,33741000,1460985000000,3341433,9.899999618530273,0,0
A035720,kakao,KOSPI,20000218,44544,45611,40010,40543,5130398,220972000000,33741000,1367961000000,3426207,10.149999618530273,0,0
A035720,kakao,KOSPI,20000221,37343,40543,35831,36720,3310228,126900000000,33741000,1238969000000,3416917,10.130000114440918,0,0
A035720,kakao,KOSPI,20000222,38232,39476,33964,34853,2709161,98914000000,33741000,1175975000000,3390459,10.050000190734863,0,0
A035720,kakao,KOSPI,20000223,33253,34320,30674,32008,2595678,83990000000,33741000,1079981000000,3566475,10.569999694824219,0,0
A035720,kakao,KOSPI,20000224,35386,35831,33786,35831,1114405,38990000000,33741000,1208973000000,3560604,10.550000190734863,0,0
A035720,kakao,KOSPI,20000225,39032,39388,35209,35564,2840853,107685000000,33741000,1199964000000,3633086,10.770000457763672,0,0
A035720,kakao,KOSPI,20000228,33786,36453,32630,32719,2654388,91728000000,33741000,1103971000000,3702318,10.970000267028809,0,0
A035720,kakao,KOSPI,20000229,33964,34675,31741,32719,1560385,51704000000,33741000,1103971000000,3662092,10.850000381469727,0,0
A035720,kakao,KOSPI,20000302,33786,34675,30763,31919,1737915,56288000000,33741000,1076978000000,3684930,10.920000076293945,0,0
A035720,kakao,KOSPI,20000303,28096,29340,28096,28096,3468153,97851000000,67483000,1896002000000,6324112,9.369999885559082,0,0
A035720,kakao,KOSPI,20000306,29340,29785,25251,26140,2681994,73820000000,67483000,1764005000000,6329848,9.380000114440918,0,0
A035720,kakao,KOSPI,20000307,25162,28274,24006,27740,3284016,87435000000,67483000,1871978000000,6276874,9.300000190734863,0,0
A035720,kakao,KOSPI,20000308,26317,29696,26140,28451,4306831,120733000000,67483000,1919958000000,6474598,9.59000015258789,0,0
A035720,kakao,KOSPI,20000309,29163,31830,27562,31830,3695676,107366000000,67483000,2147983000000,6603922,9.789999961853027,0,0
A035720,kakao,KOSPI,20000310,32897,34853,30052,31474,4531278,150432000000,67483000,2123959000000,6816548,10.100000381469727,0,0
A035720,kakao,KOSPI,20000313,31474,32008,27740,27918,2703245,80125000000,67483000,1883990000000,6816498,10.100000381469727,0,0
A035720,kakao,KOSPI,20000314,25428,27562,25073,25873,2432219,63292000000,67483000,1745987000000,6834010,10.130000114440918,0,0
A035720,kakao,KOSPI,20000315,24895,27384,23828,25339,3490586,88367000000,67483000,1709951000000,6763923,10.020000457763672,0,0
A035720,kakao,KOSPI,20000316,25784,28185,24628,26140,5961568,157627000000,67483000,1764005000000,6771290,10.029999732971191,0,0
A035720,kakao,KOSPI,20000317,25428,25784,23028,23028,1992627,48297000000,67483000,1553998000000,6833683,10.130000114440918,0,0
A035720,kakao,KOSPI,20000320,22228,22228,20271,20271,1589369,32932000000,67483000,1367947000000,6887383,10.210000038146973,0,0
A035720,kakao,KOSPI,20000321,18138,20894,17871,19560,4057950,77909000000,67483000,1319967000000,6917007,10.25,0,0
A035720,kakao,KOSPI,20000322,20449,21872,20094,20360,3729333,78036000000,67483000,1373953000000,6858236,10.15999984741211,0,0
A035720,kakao,KOSPI,20000323,21249,21872,18849,19560,2697307,56139000000,67483000,1319967000000,7032093,10.420000076293945,0,0
A035720,kakao,KOSPI,20000324,20183,20627,18671,19382,1657537,32341000000,67483000,1307955000000,7000264,10.369999885559082,0,0
A035720,kakao,KOSPI,20000327,19738,21161,18760,20538,3520677,71023000000,67483000,1385965000000,7006393,10.380000114440918,0,0
A035720,kakao,KOSPI,20000328,20627,21249,20271,20538,1530749,31850000000,67483000,1385965000000,6948246,10.300000190734863,0,0
A035720,kakao,KOSPI,20000329,19560,20271,18138,18315,1349131,25896000000,67483000,1235951000000,6948246,10.300000190734863,0,0
A035720,kakao,KOSPI,20000330,17160,20449,16181,20449,3309193,59472000000,67483000,1379959000000,7256258,10.75,0,0
A035720,kakao,KOSPI,20000331,19827,21694,18138,18226,3686926,74172000000,67483000,1229945000000,7160658,10.609999656677246,0,0
A035720,kakao,KOSPI,20000403,18671,19116,16306,17160,2077160,36968000000,67483000,1158008000000,7402470,10.970000267028809,0,0
A035720,kakao,KOSPI,20000404,16359,16626,15221,15612,2954308,46588000000,67483000,1053544000000,7109687,10.539999961853027,0,0
A035720,kakao,KOSPI,20000406,15648,17213,15470,15861,3872801,64029000000,67483000,1070347000000,7063692,10.470000267028809,0,0
A035720,kakao,KOSPI,20000407,16715,17764,16359,17764,2327717,40352000000,67483000,1198768000000,7139272,10.579999923706055,0,0
A035720,kakao,KOSPI,20000410,19204,19827,18849,19827,586090,11526000000,67483000,1337985000000,7142129,10.579999923706055,0,0
A035720,kakao,KOSPI,20000411,17871,20805,17693,17782,4626045,88072000000,67483000,1199982000000,7129988,10.569999694824219,0,0
A035720,kakao,KOSPI,20000412,17248,17782,16715,17248,1672282,28641000000,67483000,1163946000000,7181122,10.640000343322754,0,0
A035720,kakao,KOSPI,20000414,16004,16359,15186,15186,1330174,20618000000,67483000,1024796000000,6990063,10.359999656677246,0,0
A035720,kakao,KOSPI,20000417,13372,13372,13372,13372,42362,566000000,67483000,902382000000,6986126,10.350000381469727,0,0
A035720,kakao,KOSPI,20000418,13710,14741,11771,11985,3549464,44811000000,67483000,808783000000,6225543,9.229999542236328,0,0
A035720,kakao,KOSPI,20000419,12483,13319,11754,12092,3651087,46012000000,67483000,816004000000,6224755,9.220000267028809,0,0
A035720,kakao,KOSPI,20000420,11914,12145,10669,11167,2385144,27148000000,67483000,753582000000,6231110,9.229999542236328,0,0
A035720,kakao,KOSPI,20000421,11487,12501,10918,12501,4437904,52522000000,67483000,843604000000,6230598,9.229999542236328,0,0
A035720,kakao,KOSPI,20000424,12412,12767,11025,11025,2591815,30490000000,67483000,744000000000,6230598,9.229999542236328,0,0
A035720,kakao,KOSPI,20000425,10509,11309,10189,10882,2671664,28889000000,67483000,734350000000,6230598,9.229999542236328,0,0
A035720,kakao,KOSPI,20000426,11434,11700,10562,10669,2337654,26190000000,67483000,719976000000,6188129,9.170000076293945,0,0
A035720,kakao,KOSPI,20000427,10224,10580,9389,9389,1471100,14652000000,67483000,633597000000,6190885,9.170000076293945,0,0
A035720,kakao,KOSPI,20000428,9602,9851,8980,9335,2341095,22098000000,67483000,629953000000,6176191,9.149999618530273,0,0
A035720,kakao,KOSPI,20000502,9620,10456,9460,10456,1870861,18662000000,67483000,705602000000,6393282,9.470000267028809,0,0
A035720,kakao,KOSPI,20000503,10651,11291,10527,11025,3142944,34535000000,67483000,744000000000,6821683,10.109999656677246,0,0
A035720,kakao,KOSPI,20000504,11149,12163,10776,11291,2500416,28633000000,67483000,761950000000,6822358,10.109999656677246,0,0
A035720,kakao,KOSPI,20000508,11754,12092,11114,11149,2421562,28266000000,67483000,752367000000,6792215,10.069999694824219,0,0
A035720,kakao,KOSPI,20000509,10687,10758,10189,10420,1474795,15419000000,67483000,703172000000,6682725,9.899999618530273,0,0
A035720,kakao,KOSPI,20000510,10402,10669,9958,10207,1931364,20003000000,67483000,688798000000,6367008,9.430000305175781,0,0
A035720,kakao,KOSPI,20000512,9940,10153,9175,9246,1683726,16281000000,67483000,623947000000,6367008,9.430000305175781,0,0
A035720,kakao,KOSPI,20000515,8891,9157,8144,8153,1701159,14308000000,67483000,550188000000,6367571,9.4399995803833,0,0
A035720,kakao,KOSPI,20000516,8153,9122,7824,9122,2461861,21235000000,67483000,615579000000,6367571,9.4399995803833,0,0
A035720,kakao,KOSPI,20000517,9442,9602,8037,8179,3541782,30693000000,67483000,551943000000,6373194,9.4399995803833,0,0
A035720,kakao,KOSPI,20000518,8002,9033,7379,8393,5324061,45043000000,67483000,566384000000,6352387,9.40999984741211,0,0
A035720,kakao,KOSPI,20000519,8802,9389,8197,9389,4992436,45733000000,67483000,633597000000,6404686,9.489999771118164,0,0
A035720,kakao,KOSPI,20000522,9602,10509,8713,9086,9674599,93725000000,67483000,613150000000,6396588,9.479999542236328,0,0
A035720,kakao,KOSPI,20000523,9424,10171,9175,10171,3460972,34130000000,67483000,686369000000,7300240,10.819999694824219,0,0
A035720,kakao,KOSPI,20000524,10651,11380,10402,11380,6543346,72638000000,67483000,767956000000,7889868,11.6899995803833,0,0
A035720,kakao,KOSPI,20000525,11558,12732,11025,12376,5149524,62548000000,67483000,835169000000,20749280,30.75,0,0
A035720,kakao,KOSPI,20000526,11896,13781,11220,11736,7167626,91740000000,67483000,791980000000,20707930,30.690000534057617,0,0
A035720,kakao,KOSPI,20000529,11736,12269,11114,11434,4184047,48929000000,67483000,771600000000,20717130,30.700000762939453,0,0
A035720,kakao,KOSPI,20000530,11736,12803,11576,12803,4708599,58906000000,67483000,863984000000,20239590,29.989999771118164,0,0
A035720,kakao,KOSPI,20000531,13763,14332,13479,14332,5127935,72034000000,67483000,967166000000,20420612,30.260000228881836,0,0
A035720,kakao,KOSPI,20000601,14332,15097,13745,13976,6585320,95433000000,67483000,943142000000,20504909,30.389999389648438,0,0
A035720,kakao,KOSPI,20000602,14723,15150,13390,13888,4329685,61934000000,67483000,937203000000,20514368,30.399999618530273,0,0
A035720,kakao,KOSPI,20000605,14777,15541,14492,15541,3452407,52118000000,67483000,1048753000000,20595403,30.520000457763672,0,0
A035720,kakao,KOSPI,20000607,15826,17391,15648,17391,4642607,78187000000,68992000,1199839000000,20625905,29.899999618530273,0,0
A035720,kakao,KOSPI,20000608,18493,19471,17533,19471,6831816,128594000000,68992000,1343343000000,21265307,30.81999969482422,0,0
A035720,kakao,KOSPI,20000609,18671,21072,17160,17711,8056904,151070000000,68992000,1221917000000,21227095,30.770000457763672,0,0
A035720,kakao,KOSPI,20000612,17604,18404,16181,16964,4589088,78981000000,68992000,1170380000000,21270002,30.829999923706055,0,0
A035720,kakao,KOSPI,20000613,16893,18226,15559,16146,5807438,99841000000,68992000,1113944000000,21339284,30.93000030517578,0,0
A035720,kakao,KOSPI,20000614,16768,17160,15595,16164,3921540,63777000000,68992000,1115186000000,21179239,30.700000762939453,0,0
A035720,kakao,KOSPI,20000615,15826,16004,14225,14225,2669504,39859000000,68992000,981411000000,21163853,30.68000030517578,0,0
A035720,kakao,KOSPI,20000616,13692,15933,13336,15933,7483129,111560000000,68992000,1099249000000,21162717,30.670000076293945,0,0
A035720,kakao,KOSPI,20000619,16181,17195,14279,14759,8568528,140959000000,68992000,1018252000000,21189653,30.709999084472656,0,0
A035720,kakao,KOSPI,20000620,15417,15826,14510,14972,3994466,60386000000,68992000,1032948000000,21190216,30.709999084472656,0,0
A035720,kakao,KOSPI,20000621,15132,16359,15026,15701,5694220,89430000000,68992000,1083243000000,21471224,31.1200008392334,0,0
