code,name,section,date,open,high,low,close,vol,value,n_stock,agg_price,foreign_vol,foreign_rate,agency_buy,agency_netbuy
A003490,koreanAir,KOSPI,19800104,927,927,889,889,1203,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800105,843,876,836,859,3501,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800107,889,911,889,911,3628,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800108,982,999,950,982,11330,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800109,973,990,964,985,5808,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800110,950,964,945,957,5252,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800111,947,952,885,885,7761,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800112,852,876,838,876,3156,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800114,880,910,841,841,6902,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800115,852,854,826,841,5724,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800116,876,885,859,859,5446,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800117,876,882,866,875,3308,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800118,876,880,862,873,6077,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800119,859,868,859,859,3207,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800121,859,868,859,859,2045,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800122,857,857,838,841,2946,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800123,841,841,829,833,3745,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800124,833,833,824,833,2693,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800125,824,885,820,885,5648,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800126,878,883,859,859,925,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800128,859,859,833,834,3535,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800129,827,875,827,869,3224,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800130,876,922,876,922,10808,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800131,913,962,894,955,11128,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800201,929,938,903,903,6970,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800202,894,910,882,899,3257,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800204,903,920,890,890,3358,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800205,885,885,876,878,4924,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800206,876,876,847,873,2272,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800207,861,885,859,864,3804,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800208,876,876,861,866,1649,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800209,861,866,859,859,934,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800211,868,868,859,861,1700,0,0,0,0,0.0,0,0
A003490,koreanAir,KOSPI,19800212,868,876,864,866,2617,0,0,0,0,0.0,0,0
