code,name,section,date,open,high,low,close,vol,value,n_stock,agg_price,foreign_vol,foreign_rate,agency_buy,agency_netbuy
A005930,samsung,KOSPI,20000104,6000,6110,5660,6110,74198350,444233000000,7491938000,45775741000000,3542821,47.290000915527344,0,0
A005930,samsung,KOSPI,20000105,5800,6060,5520,5580,74680200,433783000000,7491938000,41805014000000,3545424,47.31999969482422,0,0
A005930,samsung,KOSPI,20000106,5750,5780,5580,5620,54390500,308005000000,7491938000,42104691000000,3572088,47.68000030517578,0,0
A005930,samsung,KOSPI,20000107,5560,5670,5360,5540,40309750,222718000000,7491938000,41505336000000,3574158,47.709999084472656,0,0
A005930,samsung,KOSPI,20000110,5600,5770,5580,5770,46880750,265754000000,7491938000,43228482000000,3584616,47.849998474121094,0,0
A005930,samsung,KOSPI,20000111,5820,6100,5770,5770,59748700,355643000000,7491938000,43228482000000,3601496,48.06999969482422,0,0
A005930,samsung,KOSPI,20000112,5610,5740,5600,5720,29224600,165911000000,7491938000,42853885000000,3605644,48.130001068115234,0,0
A005930,samsung,KOSPI,20000113,5600,5740,5560,5710,41191500,232595000000,7491938000,42778965000000,3607450,48.150001525878906,0,0
A005930,samsung,KOSPI,20000114,5720,5880,5680,5830,49378800,286307000000,7491938000,43677998000000,3625702,48.38999938964844,0,0
A005930,samsung,KOSPI,20000117,6000,6180,5920,6100,63506900,384516000000,7491938000,45700821000000,3649148,48.709999084472656,0,0
A005930,samsung,KOSPI,20000118,6160,6160,5980,6100,45261550,274619000000,7506383000,45788936000000,3659198,48.75,0,0
A005930,samsung,KOSPI,20000119,6000,6040,5960,5960,40207950,240922000000,7506383000,44738042000000,3666152,48.84000015258789,0,0
A005930,samsung,KOSPI,20000120,5860,6040,5820,6040,37318000,220706000000,7506383000,45338553000000,3666317,48.84000015258789,0,0
A005930,samsung,KOSPI,20000121,5950,5980,5880,5880,32536400,192645000000,7506383000,44137532000000,3668382,48.869998931884766,0,0
A005930,samsung,KOSPI,20000124,5800,5900,5700,5700,34359150,199481000000,7506383000,42786383000000,3664510,48.81999969482422,0,0
A005930,samsung,KOSPI,20000125,5520,5640,5440,5440,44253350,244838000000,7506383000,40834723000000,3670532,48.900001525878906,0,0
A005930,samsung,KOSPI,20000126,5500,5520,5410,5480,29286700,160194000000,7506383000,41134978000000,3676571,48.97999954223633,0,0
A005930,samsung,KOSPI,20000127,5480,5620,5430,5520,27904150,154449000000,7506383000,41435234000000,3679762,49.02000045776367,0,0
A005930,samsung,KOSPI,20000128,5640,5880,5540,5820,38319900,218028000000,7506383000,43687149000000,3690641,49.16999816894531,0,0
A005930,samsung,KOSPI,20000131,5640,5730,5560,5580,39634450,223324000000,7506383000,41885617000000,3678022,49.0,0,0
A005930,samsung,KOSPI,20000201,5600,5680,5260,5320,71470100,386258000000,7506383000,39933957000000,3661089,48.77000045776367,0,0
A005930,samsung,KOSPI,20000202,5220,5370,5110,5250,64107150,335283000000,7506383000,39408510000000,3653516,48.66999816894531,0,0
A005930,samsung,KOSPI,20000203,5250,5460,4970,5130,142767750,737977000000,7506383000,38507744000000,3616777,48.18000030517578,0,0
A005930,samsung,KOSPI,20000207,5140,5330,5040,5240,64141750,334236000000,7506383000,39333446000000,3621544,48.25,0,0
A005930,samsung,KOSPI,20000208,5340,5480,5310,5430,58462200,315930000000,7511734000,40788715000000,3637557,48.43000030517578,0,0
A005930,samsung,KOSPI,20000209,5560,5720,5480,5720,51051150,286112000000,7511734000,42967118000000,3659537,48.720001220703125,0,0
A005930,samsung,KOSPI,20000210,5660,5880,5600,5760,61848950,354769000000,7511734000,43267587000000,3689913,49.119998931884766,0,0
A005930,samsung,KOSPI,20000211,5960,5960,5680,5700,34662850,200367000000,7511734000,42816883000000,3703080,49.29999923706055,0,0
A005930,samsung,KOSPI,20000214,5600,5660,5340,5380,44144450,241543000000,7511734000,40413128000000,3705599,49.33000183105469,0,0
A005930,samsung,KOSPI,20000215,5380,5420,5140,5200,38319650,199765000000,7511734000,39061016000000,3698023,49.22999954223633,0,0
A005930,samsung,KOSPI,20000216,5180,5200,4780,5000,73119450,364472000000,7511734000,37558670000000,3677450,48.959999084472656,0,0
A005930,samsung,KOSPI,20000217,4940,5100,4910,5080,65186900,327533000000,7511734000,38159608000000,3678957,48.97999954223633,0,0
A005930,samsung,KOSPI,20000218,5370,5630,5160,5300,108754150,591141000000,7511734000,39812190000000,3730550,49.65999984741211,0,0
A005930,samsung,KOSPI,20000221,5200,5260,5030,5070,26486100,135656000000,7511734000,38084491000000,3728970,49.63999938964844,0,0
A005930,samsung,KOSPI,20000222,5000,5240,5000,5120,24183450,123582000000,7511734000,38460078000000,3729258,49.650001525878906,0,0
A005930,samsung,KOSPI,20000223,5220,5260,5100,5140,27724850,142798000000,7511734000,38610312000000,3733513,49.70000076293945,0,0
A005930,samsung,KOSPI,20000224,5120,5240,5060,5070,26076300,133765000000,7511734000,38084491000000,3745701,49.86000061035156,0,0
A005930,samsung,KOSPI,20000225,5080,5150,4980,5120,27876350,140659000000,7511734000,38460078000000,3757426,50.02000045776367,0,0
A005930,samsung,KOSPI,20000228,5000,5050,4800,4800,30143200,149495000000,7511734000,36056323000000,3770431,50.189998626708984,0,0
A005930,samsung,KOSPI,20000229,4900,5140,4840,5120,51821000,260007000000,7511734000,38460078000000,3795710,50.529998779296875,0,0
A005930,samsung,KOSPI,20000302,5880,5880,5520,5880,117754600,688265000000,7511734000,44168995000000,3875994,51.599998474121094,0,0
A005930,samsung,KOSPI,20000303,6200,6250,5880,6000,140994550,856888000000,7515483000,45092898000000,3954671,52.619998931884766,0,0
A005930,samsung,KOSPI,20000306,6000,6050,5600,5640,39151000,227062000000,7515483000,42387324000000,3952544,52.59000015258789,0,0
A005930,samsung,KOSPI,20000307,5600,5640,5480,5620,30070700,167698000000,7515483000,42237014000000,3963528,52.7400016784668,0,0
