category_code,category_name,company_nums,company_list
026,서비스업,96,"['A095570', 'A079160', 'A012030', 'A365550', 'A114090', 'A003560', 'A058850', 'A058860', 'A037560', 'A035420', 'A181710', 'A338100', 'A034310', 'A034120', 'A101060', 'A210980', 'A068400', 'A326030', 'A037270', 'A035250', 'A011420', 'A251270', 'A005250', 'A005257', 'A023590', 'A019680', 'A019685', 'A016710', 'A192080', 'A012510', 'A002150', 'A102260', 'A000150', 'A000157', 'A000155', 'A032350', 'A089860', 'A330590', 'A286940', 'A204210', 'A007120', 'A357250', 'A155900', 'A100220', 'A030790', 'A018260', 'A028050', 'A068290', 'A000180', 'A002420', 'A053210', 'A035510', 'A031440', 'A293940', 'A015540', 'A002030', 'A012170', 'A267850', 'A012750', 'A140910', 'A036570', 'A070960', 'A095720', 'A000700', 'A072130', 'A214320', 'A088260', 'A015020', 'A350520', 'A334890', 'A317400', 'A348950', 'A036420', 'A030000', 'A002620', 'A035000', 'A035720', 'A145270', 'A357120', 'A021240', 'A031820', 'A284740', 'A259960', 'A020120', 'A078000', 'A039130', 'A172580', 'A153360', 'A352820', 'A023350', 'A053690', 'A052690', 'A130660', 'A307950', 'A126560', 'A094280']"
027,제조업,551,"['A001460', 'A001465', 'A011150', 'A011155', 'A097950', 'A097955', 'A000990', 'A000995', 'A004840', 'A155660', 'A069730', 'A383220', 'A007700', 'A089470', 'A082740', 'A234080', 'A001060', 'A001067', 'A001065', 'A002380', 'A344820', 'A119650', 'A092220', 'A016380', 'A016385', 'A001390', 'A033180', 'A001940', 'A025000', 'A092230', 'A000040', 'A033780', 'A093050', 'A034220', 'A051900', 'A051905', 'A011070', 'A066570', 'A066575', 'A051910', 'A051915', 'A079550', 'A010120', 'A108670', 'A108675', 'A023150', 'A008260', 'A004250', 'A004255', 'A010060', 'A178920', 'A005490', 'A010950', 'A010955', 'A001380', 'A001770', 'A002360', 'A009160', 'A123700', 'A011790', 'A302440', 'A361610', 'A096770', 'A096775', 'A285130', 'A28513K', 'A000660', 'A064960', 'A100840', 'A003570', 'A005610', 'A077970', 'A071970', 'A002820', 'A084870', 'A002710', 'A002900', 'A024070', 'A000500', 'A000860', 'A002100', 'A009450', 'A214390', 'A012610', 'A009140', 'A012200', 'A012205', 'A002140', 'A010130', 'A002240', 'A009290', 'A017040', 'A017900', 'A007690', 'A002720', 'A083420', 'A014530', 'A014280', 'A014285', 'A008870', 'A001570', 'A011780', 'A011785', 'A214330', 'A001210', 'A073240', 'A092440', 'A000270', 'A004540', 'A004545', 'A008350', 'A008355', 'A003920', 'A003925', 'A025860', 'A005720', 'A005725', 'A002350', 'A002355', 'A090350', 'A090355', 'A006280', 'A004370', 'A058730', 'A145210', 'A353200', 'A35320K', 'A000490', 'A008110', 'A005750', 'A006570', 'A001680', 'A001685', 'A009190', 'A014160', 'A009320', 'A042660', 'A069620', 'A000430', 'A006340', 'A006345', 'A003220', 'A024890', 'A002880', 'A000300', 'A012800', 'A015230', 'A001070', 'A006650', 'A001440', 'A084010', 'A001790', 'A001795', 'A001130', 'A003830', 'A016090', 'A069460', 'A004830', 'A004835', 'A024900', 'A145720', 'A001230', 'A023450', 'A007590', 'A002210', 'A170900', 'A282690', 'A001520', 'A001527', 'A001529', 'A001525', 'A008970', 'A092780', 'A049770', 'A018500', 'A014820', 'A014825', 'A163560', 'A004890', 'A002690', 'A000020', 'A241560', 'A042670', 'A034020', 'A336260', 'A33626K', 'A33626L', 'A016740', 'A192650', 'A024090', 'A003160', 'A092200', 'A210540', 'A007340', 'A026890', 'A115390', 'A004000', 'A280360', 'A005300', 'A005305', 'A011170', 'A002270', 'A027740', 'A204320', 'A001080', 'A090370', 'A017180', 'A009900', 'A012690', 'A009680', 'A009580', 'A009200', 'A033920', 'A008420', 'A025560', 'A002840', 'A268280', 'A134380', 'A003650', 'A003610', 'A001340', 'A035150', 'A007210', 'A002760', 'A003850', 'A000890', 'A003000', 'A026940', 'A011390', 'A005030', 'A002070', 'A005180', 'A003960', 'A008040', 'A014710', 'A006090', 'A006400', 'A006405', 'A006660', 'A207940', 'A009150', 'A009155', 'A005930', 'A005935', 'A001360', 'A010140', 'A010145', 'A006110', 'A145990', 'A145995', 'A003230', 'A002170', 'A272550', 'A005680', 'A003720', 'A023000', 'A004380', 'A002450', 'A004440', 'A000520', 'A009770', 'A005500', 'A004450', 'A009470', 'A011230', 'A001820', 'A000390', 'A041650', 'A075180', 'A248170', 'A200880', 'A004410', 'A004415', 'A021050', 'A008490', 'A007610', 'A136490', 'A014910', 'A014915', 'A003080', 'A004980', 'A004985', 'A011300', 'A004490', 'A001430', 'A306200', 'A019440', 'A058650', 'A091090', 'A021820', 'A033530', 'A075580', 'A027970', 'A308170', 'A012600', 'A068270', 'A336370', 'A33637K', 'A33637L', 'A248070', 'A004430', 'A017550', 'A134790', 'A016590', 'A029530', 'A011930', 'A005800', 'A009270', 'A009275', 'A019170', 'A019175', 'A002870', 'A102280', 'A003410', 'A003620', 'A004770', 'A004920', 'A112610', 'A008700', 'A002790', 'A00279K', 'A002795', 'A090430', 'A090435', 'A183190', 'A002310', 'A010780', 'A139990', 'A001780', 'A018250', 'A161000', 'A011090', 'A137310', 'A005850', 'A078520', 'A015260', 'A007460', 'A003060', 'A085310', 'A097520', 'A014440', 'A003520', 'A000670', 'A006740', 'A012280', 'A012160', 'A007310', 'A002630', 'A271560', 'A011690', 'A006980', 'A017370', 'A105840', 'A049800', 'A005820', 'A033270', 'A014830', 'A000910', 'A047400', 'A011330', 'A002920', 'A000220', 'A000225', 'A000227', 'A000100', 'A000105', 'A008730', 'A008250', 'A025820', 'A007660', 'A005950', 'A074610', 'A102460', 'A084680', 'A014990', 'A023800', 'A023810', 'A249420', 'A000230', 'A003120', 'A003200', 'A007570', 'A007575', 'A008500', 'A081000', 'A020760', 'A020150', 'A103590', 'A226320', 'A033240', 'A000950', 'A194370', 'A025620', 'A271980', 'A001560', 'A004910', 'A004700', 'A001550', 'A000480', 'A120030', 'A018470', 'A002600', 'A185750', 'A063160', 'A001630', 'A044380', 'A013890', 'A013870', 'A010580', 'A003780', 'A010640', 'A100250', 'A051630', 'A011000', 'A009310', 'A033250', 'A006380', 'A109070', 'A001620', 'A029460', 'A281820', 'A007815', 'A007810', 'A00781K', 'A192820', 'A005070', 'A005420', 'A071950', 'A144620', 'A120110', 'A120115', 'A138490', 'A015590', 'A264900', 'A26490K', 'A014580', 'A015890', 'A006890', 'A003240', 'A011280', 'A004100', 'A004105', 'A001420', 'A007980', 'A055490', 'A214420', 'A019180', 'A004870', 'A005690', 'A036580', 'A004720', 'A010820', 'A016800', 'A001020', 'A090080', 'A010770', 'A058430', 'A003670', 'A017810', 'A103140', 'A293480', 'A071090', 'A019490', 'A000080', 'A000087', 'A010040', 'A025540', 'A004090', 'A002200', 'A002960', 'A009540', 'A025890', 'A000970', 'A104700', 'A017960', 'A161890', 'A161390', 'A007280', 'A010100', 'A047810', 'A003350', 'A011500', 'A002390', 'A042700', 'A128940', 'A020000', 'A003680', 'A105630', 'A016450', 'A213500', 'A014680', 'A004710', 'A025750', 'A011700', 'A018880', 'A009420', 'A300720', 'A002220', 'A006390', 'A003300', 'A009460', 'A372910', 'A000880', 'A00088K', 'A009830', 'A009835', 'A272210', 'A012450', 'A000885', 'A195870', 'A101530', 'A143210', 'A267270', 'A064350', 'A079430', 'A012330', 'A010620', 'A004560', 'A004565', 'A004310', 'A322000', 'A017800', 'A011210', 'A267260', 'A004020', 'A267250', 'A005380', 'A005387', 'A005389', 'A005385', 'A093240', 'A111110', 'A378850', 'A241590', 'A006060', 'A013520', 'A010690', 'A133820', 'A010660', 'A000850', 'A016580', 'A032560', 'A298040', 'A298050', 'A298020', 'A298000', 'A093370', 'A005870', 'A079980', 'A005010', 'A069260']"
132,KOSPI200 산업재,21,"['A000120', 'A011200', 'A079550', 'A006260', 'A010120', 'A001120', 'A001740', 'A001440', 'A003490', 'A336260', 'A028260', 'A020560', 'A012750', 'A028670', 'A047050', 'A047810', 'A051600', 'A180640', 'A272210', 'A012450', 'A086280']"
133,KOSPI200 헬스케어,19,"['A001060', 'A302440', 'A326030', 'A006280', 'A005250', 'A003090', 'A069620', 'A003850', 'A003000', 'A207940', 'A068270', 'A019170', 'A003520', 'A000100', 'A007570', 'A185750', 'A008930', 'A128940', 'A009420']"
141,KOSPI200 건설,13,"['A000210', 'A375500', 'A006360', 'A294870', 'A108670', 'A383800', 'A047040', 'A028050', 'A003410', 'A010780', 'A003670', 'A052690', 'A000720']"
142,KOSPI200 중공업,12,"['A042660', 'A000150', 'A241560', 'A042670', 'A034020', 'A010140', 'A112610', 'A009540', 'A064350', 'A010620', 'A017800', 'A267250']"
143,KOSPI200 철강/소재,8,"['A016380', 'A005490', 'A010130', 'A001230', 'A014820', 'A000670', 'A103140', 'A004020']"
144,KOSPI200 에너지/화학,24,"['A078930', 'A002380', 'A051910', 'A010060', 'A010950', 'A034730', 'A011790', 'A006120', 'A361610', 'A096770', 'A285130', 'A011780', 'A006650', 'A004000', 'A011170', 'A120110', 'A003240', 'A014680', 'A000880', 'A009830', 'A004800', 'A298050', 'A093370', 'A069260']"
145,KOSPI200 정보기술,11,"['A000990', 'A003550', 'A034220', 'A011070', 'A066570', 'A000660', 'A006400', 'A018260', 'A009150', 'A005930', 'A020150']"
146,KOSPI200 금융,18,"['A138930', 'A005830', 'A105560', 'A005940', 'A024110', 'A008560', 'A006800', 'A032830', 'A016360', 'A029780', 'A000810', 'A055550', 'A316140', 'A039490', 'A086790', 'A071050', 'A088350', 'A001450']"
147,KOSPI200 생활소비재,27,"['A282330', 'A001040', 'A097950', 'A007070', 'A033780', 'A051900', 'A004370', 'A001680', 'A026960', 'A049770', 'A006040', 'A004990', 'A005300', 'A003230', 'A000070', 'A002790', 'A090430', 'A007310', 'A271560', 'A001800', 'A139480', 'A192820', 'A000080', 'A036460', 'A015760', 'A161890', 'A005440']"
148,KOSPI200 경기소비재,36,"['A007700', 'A114090', 'A064960', 'A035250', 'A073240', 'A000270', 'A002350', 'A192080', 'A115390', 'A032350', 'A023530', 'A071840', 'A204320', 'A004490', 'A004170', 'A031430', 'A111770', 'A013890', 'A021240', 'A192400', 'A284740', 'A000240', 'A161390', 'A009240', 'A020000', 'A105630', 'A018880', 'A012330', 'A069960', 'A011210', 'A005380', 'A057050', 'A008770', 'A241590', 'A298020', 'A081660']"
170,KTOP 30,30,"['A035760', 'A105560', 'A034220', 'A066570', 'A051910', 'A035420', 'A005490', 'A096770', 'A017670', 'A000660', 'A251270', 'A011170', 'A006800', 'A006400', 'A028260', 'A032830', 'A009150', 'A005930', 'A000810', 'A068270', 'A055550', 'A090430', 'A000100', 'A139480', 'A035720', 'A009540', 'A000720', 'A086280', 'A012330', 'A005380']"
180,KOSPI200지수,200,"['A282330', 'A138930', 'A001040', 'A079160', 'A000120', 'A097950', 'A005830', 'A000990', 'A000210', 'A375500', 'A007700', 'A114090', 'A078930', 'A006360', 'A007070', 'A294870', 'A011200', 'A001060', 'A105560', 'A002380', 'A016380', 'A030200', 'A033780', 'A003550', 'A034220', 'A051900', 'A032640', 'A011070', 'A066570', 'A051910', 'A079550', 'A006260', 'A010120', 'A001120', 'A108670', 'A383800', 'A035420', 'A005940', 'A010060', 'A005490', 'A010950', 'A034730', 'A011790', 'A001740', 'A006120', 'A302440', 'A326030', 'A361610', 'A096770', 'A285130', 'A017670', 'A000660', 'A064960', 'A035250', 'A010130', 'A011780', 'A073240', 'A000270', 'A024110', 'A002350', 'A251270', 'A006280', 'A005250', 'A004370', 'A001680', 'A047040', 'A042660', 'A003090', 'A069620', 'A006650', 'A001440', 'A003490', 'A192080', 'A001230', 'A026960', 'A049770', 'A006040', 'A014820', 'A000150', 'A241560', 'A042670', 'A034020', 'A336260', 'A115390', 'A032350', 'A023530', 'A004000', 'A004990', 'A005300', 'A011170', 'A071840', 'A204320', 'A008560', 'A006800', 'A003850', 'A003000', 'A006400', 'A028260', 'A207940', 'A032830', 'A018260', 'A028050', 'A009150', 'A005930', 'A010140', 'A016360', 'A029780', 'A000810', 'A003230', 'A000070', 'A004490', 'A068270', 'A004170', 'A031430', 'A019170', 'A055550', 'A003410', 'A112610', 'A002790', 'A090430', 'A020560', 'A010780', 'A012750', 'A036570', 'A111770', 'A003520', 'A000670', 'A007310', 'A271560', 'A001800', 'A316140', 'A000100', 'A214320', 'A139480', 'A007570', 'A020150', 'A030000', 'A185750', 'A013890', 'A035720', 'A192820', 'A120110', 'A021240', 'A192400', 'A284740', 'A039490', 'A003240', 'A028670', 'A047050', 'A003670', 'A103140', 'A086790', 'A352820', 'A000080', 'A036460', 'A071050', 'A000240', 'A015760', 'A009540', 'A161890', 'A161390', 'A047810', 'A008930', 'A128940', 'A009240', 'A020000', 'A105630', 'A014680', 'A018880', 'A009420', 'A051600', 'A052690', 'A180640', 'A000880', 'A088350', 'A009830', 'A272210', 'A012450', 'A000720', 'A005440', 'A086280', 'A064350', 'A012330', 'A010620', 'A069960', 'A017800', 'A011210', 'A004020', 'A267250', 'A005380', 'A001450', 'A057050', 'A008770', 'A241590', 'A004800', 'A298050', 'A298020', 'A093370', 'A081660', 'A069260']"
181,KOSPI100지수,100,"['A282330', 'A001040', 'A000120', 'A097950', 'A005830', 'A078930', 'A006360', 'A007070', 'A011200', 'A105560', 'A030200', 'A033780', 'A003550', 'A034220', 'A051900', 'A032640', 'A011070', 'A066570', 'A051910', 'A035420', 'A005940', 'A005490', 'A010950', 'A034730', 'A302440', 'A326030', 'A361610', 'A096770', 'A285130', 'A017670', 'A000660', 'A035250', 'A010130', 'A011780', 'A000270', 'A024110', 'A251270', 'A042660', 'A003490', 'A241560', 'A034020', 'A023530', 'A004990', 'A011170', 'A006800', 'A006400', 'A028260', 'A207940', 'A032830', 'A018260', 'A028050', 'A009150', 'A005930', 'A010140', 'A016360', 'A029780', 'A000810', 'A068270', 'A004170', 'A019170', 'A055550', 'A003410', 'A002790', 'A090430', 'A012750', 'A036570', 'A007310', 'A271560', 'A316140', 'A000100', 'A139480', 'A030000', 'A035720', 'A021240', 'A047050', 'A003670', 'A086790', 'A352820', 'A000080', 'A036460', 'A071050', 'A015760', 'A009540', 'A161390', 'A047810', 'A008930', 'A128940', 'A009240', 'A018880', 'A180640', 'A000880', 'A009830', 'A000720', 'A086280', 'A012330', 'A004020', 'A267250', 'A005380', 'A008770', 'A081660']"
182,KOSPI50지수,50,"['A105560', 'A030200', 'A033780', 'A003550', 'A034220', 'A051900', 'A032640', 'A066570', 'A051910', 'A035420', 'A005490', 'A010950', 'A034730', 'A302440', 'A326030', 'A361610', 'A096770', 'A017670', 'A000660', 'A035250', 'A010130', 'A000270', 'A024110', 'A251270', 'A011170', 'A006400', 'A028260', 'A207940', 'A032830', 'A018260', 'A009150', 'A005930', 'A000810', 'A068270', 'A055550', 'A090430', 'A036570', 'A316140', 'A035720', 'A021240', 'A003670', 'A086790', 'A352820', 'A015760', 'A009540', 'A161390', 'A018880', 'A086280', 'A012330', 'A005380']"
190,코스피 200 고배당지수,50,"['A138930', 'A001040', 'A097950', 'A005830', 'A078930', 'A006360', 'A007070', 'A294870', 'A001060', 'A105560', 'A002380', 'A030200', 'A033780', 'A032640', 'A079550', 'A010120', 'A005940', 'A005490', 'A034730', 'A017670', 'A000660', 'A010130', 'A024110', 'A004370', 'A001680', 'A023530', 'A004990', 'A008560', 'A032830', 'A018260', 'A005930', 'A016360', 'A000810', 'A055550', 'A003410', 'A036570', 'A316140', 'A139480', 'A030000', 'A021240', 'A103140', 'A086790', 'A000080', 'A015760', 'A009240', 'A051600', 'A069960', 'A267250', 'A001450', 'A004800']"
191,코스피 200 저변동성지수,50,"['A138930', 'A001040', 'A000120', 'A097950', 'A005830', 'A114090', 'A078930', 'A007070', 'A105560', 'A030200', 'A033780', 'A051900', 'A032640', 'A035420', 'A005940', 'A005490', 'A017670', 'A035250', 'A010130', 'A024110', 'A004370', 'A001680', 'A023530', 'A004990', 'A008560', 'A006800', 'A018260', 'A009150', 'A005930', 'A016360', 'A000810', 'A004170', 'A055550', 'A003410', 'A002790', 'A271560', 'A316140', 'A139480', 'A030000', 'A021240', 'A086790', 'A000080', 'A015760', 'A161890', 'A047810', 'A051600', 'A000720', 'A069960', 'A001450', 'A008770']"
