category_code,category_name,company_nums,company_list
012,기계,43,"['A082740', 'A119650', 'A079550', 'A009160', 'A100840', 'A077970', 'A071970', 'A002900', 'A012200', 'A012205', 'A092440', 'A058730', 'A145210', 'A000490', 'A006570', 'A241560', 'A042670', 'A034020', 'A210540', 'A004380', 'A004450', 'A091090', 'A012600', 'A017550', 'A112610', 'A007460', 'A085310', 'A017370', 'A049800', 'A074610', 'A120030', 'A009310', 'A015590', 'A010820', 'A025890', 'A017960', 'A042700', 'A011700', 'A018880', 'A267270', 'A017800', 'A010660', 'A000850']"
013,"전기,전자",74,"['A000990', 'A000995', 'A092220', 'A033180', 'A034220', 'A011070', 'A066570', 'A066575', 'A010120', 'A361610', 'A000660', 'A000500', 'A009450', 'A009140', 'A017040', 'A017900', 'A001210', 'A353200', 'A35320K', 'A008110', 'A006340', 'A006345', 'A000300', 'A001440', 'A336260', 'A33626K', 'A33626L', 'A192650', 'A007340', 'A026890', 'A006400', 'A006405', 'A009150', 'A009155', 'A005930', 'A005935', 'A005680', 'A009470', 'A011230', 'A001820', 'A007610', 'A014910', 'A014915', 'A004490', 'A336370', 'A33637K', 'A33637L', 'A248070', 'A029530', 'A011930', 'A004770', 'A008700', 'A015260', 'A097520', 'A011690', 'A007660', 'A020760', 'A020150', 'A103590', 'A033240', 'A044380', 'A007815', 'A007810', 'A00781K', 'A019180', 'A019490', 'A025540', 'A004710', 'A272210', 'A195870', 'A322000', 'A267260', 'A298040', 'A005870']"
014,의료정밀,8,"['A145720', 'A003160', 'A025560', 'A137310', 'A105840', 'A029460', 'A281820', 'A372910']"
015,운송장비,63,"['A000040', 'A001380', 'A123700', 'A064960', 'A003570', 'A214330', 'A000270', 'A009320', 'A042660', 'A000430', 'A002880', 'A015230', 'A024900', 'A092780', 'A018500', 'A016740', 'A092200', 'A204320', 'A009900', 'A009680', 'A005030', 'A006660', 'A010140', 'A010145', 'A023000', 'A041650', 'A075180', 'A200880', 'A021820', 'A033530', 'A075580', 'A308170', 'A003620', 'A005850', 'A012280', 'A002920', 'A023800', 'A023810', 'A013870', 'A010580', 'A033250', 'A001620', 'A004100', 'A004105', 'A001420', 'A090080', 'A010770', 'A009540', 'A010100', 'A047810', 'A012450', 'A143210', 'A064350', 'A012330', 'A010620', 'A011210', 'A005380', 'A005387', 'A005389', 'A005385', 'A378850', 'A013520', 'A010690']"
016,유통업,65,"['A282330', 'A001530', 'A017940', 'A001250', 'A007070', 'A000680', 'A001120', 'A004060', 'A025530', 'A018670', 'A001740', 'A001745', 'A011810', 'A000050', 'A037710', 'A339770', 'A005320', 'A004270', 'A006370', 'A128820', 'A026960', 'A023530', 'A071840', 'A005360', 'A028260', 'A02826K', 'A002810', 'A013000', 'A067830', 'A005390', 'A004170', 'A031430', 'A006880', 'A002700', 'A004080', 'A122900', 'A138250', 'A009810', 'A111770', 'A118000', 'A010600', 'A008600', 'A077500', 'A139480', 'A093230', 'A000760', 'A101140', 'A007110', 'A088790', 'A047050', 'A007630', 'A123690', 'A009240', 'A069640', 'A010420', 'A005110', 'A005440', 'A069960', 'A011760', 'A227840', 'A057050', 'A003010', 'A008770', 'A008775', 'A081660']"
017,전기가스업,11,"['A005090', 'A267290', 'A117580', 'A015350', 'A004690', 'A017390', 'A034590', 'A071320', 'A036460', 'A015760', 'A003480']"
018,건설업,36,"['A001880', 'A375500', 'A37550K', 'A006360', 'A039570', 'A294870', 'A013580', 'A002990', 'A002995', 'A013700', 'A001260', 'A047040', 'A005960', 'A005965', 'A028100', 'A002410', 'A001470', 'A010960', 'A034300', 'A023960', 'A010400', 'A013360', 'A002780', 'A002787', 'A002785', 'A003070', 'A003075', 'A009410', 'A009415', 'A014790', 'A004960', 'A051600', 'A097230', 'A000720', 'A000725', 'A002460']"
019,운수창고,28,"['A000120', 'A011200', 'A009070', 'A044450', 'A001140', 'A003490', 'A003495', 'A005880', 'A004140', 'A084670', 'A004360', 'A004365', 'A020560', 'A298690', 'A129260', 'A089590', 'A272450', 'A000650', 'A091810', 'A028670', 'A005430', 'A009180', 'A014130', 'A002320', 'A180640', 'A18064K', 'A086280', 'A003280']"
020,통신업,4,"['A030200', 'A032640', 'A017670', 'A006490']"
021,금융업,133,"['A006840', 'A027410', 'A138930', 'A001040', 'A00104K', 'A001045', 'A000590', 'A016610', 'A005830', 'A139130', 'A000210', 'A000215', 'A078930', 'A078935', 'A012630', 'A175330', 'A096760', 'A105560', 'A009440', 'A030210', 'A003550', 'A003555', 'A006260', 'A229640', 'A383800', 'A38380K', 'A005940', 'A005945', 'A034730', 'A006120', 'A006125', 'A03473K', 'A001510', 'A001515', 'A036530', 'A012320', 'A030610', 'A024110', 'A000320', 'A000325', 'A072710', 'A008060', 'A00806K', 'A084690', 'A084695', 'A003540', 'A003547', 'A003545', 'A003090', 'A000640', 'A082640', 'A013570', 'A000400', 'A004990', 'A00499K', 'A088980', 'A138040', 'A008560', 'A000060', 'A085620', 'A006800', 'A00680K', 'A006805', 'A107590', 'A001270', 'A001275', 'A032830', 'A016360', 'A029780', 'A000810', 'A000815', 'A000070', 'A000075', 'A001290', 'A007540', 'A007860', 'A003030', 'A001720', 'A001725', 'A055550', 'A244920', 'A380440', 'A009970', 'A015360', 'A001800', 'A316140', 'A033660', 'A010050', 'A016880', 'A003470', 'A003475', 'A001200', 'A003460', 'A003465', 'A015860', 'A006220', 'A323410', 'A003690', 'A044820', 'A002020', 'A002025', 'A192400', 'A005740', 'A005745', 'A039490', 'A363280', 'A36328K', 'A005810', 'A086790', 'A000140', 'A000145', 'A071050', 'A071055', 'A000240', 'A123890', 'A006200', 'A024720', 'A034830', 'A060980', 'A008930', 'A004150', 'A001750', 'A001755', 'A088350', 'A000370', 'A003530', 'A003535', 'A001500', 'A001450', 'A004800', 'A000540', 'A000547', 'A000545']"
022,은행,3,"['A024110', 'A006220', 'A323410']"
024,증권,31,"['A016610', 'A030210', 'A005940', 'A005945', 'A001510', 'A001515', 'A030610', 'A003540', 'A003547', 'A003545', 'A008560', 'A006800', 'A00680K', 'A006805', 'A001270', 'A001275', 'A016360', 'A001290', 'A001720', 'A001725', 'A003470', 'A003475', 'A001200', 'A003460', 'A003465', 'A039490', 'A001750', 'A001755', 'A003530', 'A003535', 'A001500']"
025,보험,15,"['A005830', 'A082640', 'A000400', 'A000060', 'A085620', 'A032830', 'A000810', 'A000815', 'A003690', 'A088350', 'A000370', 'A001450', 'A000540', 'A000547', 'A000545']"
